ซีนที่ (Scene No),ช่วงเวลาในเพลง (Time),ความยาว (Duration),คลิปต้นทาง (Source Asset),วิที่ใช้ในคลิป (Source Range),คู่มือตัดต่อ (Editing Spec),คิวร้อง (Lyrics Cue),เรื่องราวในซีน (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),Photo Prompt (สำหรับเจนเดี่ยว),Motion Prompt (สำหรับเจนเดี่ยว)
1,0:00 - 0:07,7,MC-01,0:00 - 0:07,ภาพมุมกว้าง Wide Shot ปกติ เพื่อแสดงฉากทุ่งนาแสนสวยงามและน้องโฮมมี่โยกตัวต้อนรับ ใส่ฟิลเตอร์เพิ่มความสดใสและความคมชัดแบบภาพยนตร์พิกซาร์,[Intro] (ดนตรีนำ),น้องโฮมมี่ (Homey) ยืนโยกตัวอย่างร่าเริงตามจังหวะดนตรีทักทายผู้ชมบนทางเดินทุ่งนาพาสเทลสีเขียวขจี,Wide Shot,Eye-level,"`A wide shot of Homey, the cute monkey character with big round brown eyes, waving happily while swaying side-to-side on a grassy path. The background is a beautiful Playful Paddy Field under a clear sunny sky. Whimsical 3D musical notes float in the air. Disney Pixar 3D animation style, octane render, smooth polished textures, soft studio lighting, highly detailed, 16:9 aspect ratio.`","`Camera static. Homey does a joyful side-to-side step dance, waving his hand at the camera. The 3D musical notes gently bounce. Clean video, no text, Disney Pixar style.`"
2,0:07 - 0:14,7,MC-01,0:03 - 0:10,"ซูมและครอปภาพ 140% (Medium Shot) เจาะไปที่การเคลื่อนไหวของโฮมมี่, ซ้อนทับ (Chroma Key) ไฟล์ MC-06 (ปูดำและปูนาเต้นดุ๊กดิ๊ก) ไว้ที่มุมด้านล่างของเฟรมภาพ",0:01 จับปูดำ ขยำปูนา,น้องโฮมมี่เต้นย่อตัวเอามือจับขยำเลียนแบบท่าก้ามปู และมีปูดำกับปูนาการ์ตูนตัวเล็กๆ คลานเต้นโยกเยกไปมาด้านล่าง,Medium Shot,Slight low-angle,"`Medium shot of Homey the monkey crouching on a smooth grass ridge in a paddy field, mimicking crab claws with his hands, smiling playfully. A cute black mud crab and a brown ricefield crab with big eyes are nearby. Disney Pixar 3D animation style, octane render, smooth polished textures, highly detailed, 16:9 aspect ratio.`","`Homey does the 'crab claws grab and squeeze' dance motion, moving his body left and right. The crabs move their claws in sync. Clean video, no text, Disney Pixar style.`"
3,0:14 - 0:21,7,MC-01,0:00 - 0:07,"กลับด้านวิดีโอซ้าย-ขวา (Mirror/Flip Horizontal) เพื่อไม่ให้ภาพซ้ำกับซีน 1, ซูมภาพ 150% (Medium Shot) และขยับเฟรมขึ้นบนเล็กน้อยเพื่อเน้นท่ากระโดดคว้าของตัวละคร",0:04 จับปูม้า คว้าปูทะเล,น้องโฮมมี่กระโดดไปอีกฝั่งและยื่นมือขึ้นไปคว้าบนอากาศอย่างกระฉับกระเฉง เลียนแบบท่าจับปูม้าและคว้าปูทะเล,Medium Shot,Eye-level,"`Medium shot of Homey the monkey jumping sideways with arms extended, attempting to 'catch' invisible crabs in the air, laughing happily. The background is a sunny Playful Paddy Field. Disney Pixar 3D animation style, octane render, smooth polished textures, volumetric lighting, 16:9 aspect ratio.`","`Homey performs the side jump-reach motion, reaching his hands up and forward twice to the beat. Clean video, no text, Disney Pixar style.`"
4,0:21 - 0:28,7,MC-01,0:03 - 0:10,ซูม 180% (Close-up) เจาะไปที่ใบหน้ารอยยิ้มกว้างของโฮมมี่ เพื่อเน้นการแสดงออกทางสีหน้าที่สดใสและทะเล้นตามดีไซน์ของพิกซาร์,0:08 สนุกจริงเอย แล้วเลยนอนเปล,น้องโฮมมี่ทำท่าส่ายตัวยกนิ้วโป้งสองข้างและส่งรอยยิ้มกว้างขยิบตาอย่างแฮปปี้สุดๆ,Close-up,Eye-level,"`Close-up shot of Homey the monkey with a huge smile, winking and showing two thumbs up. The background is a soft green paddy field. Disney Pixar 3D animation style, octane render, smooth polished textures, highly detailed, 16:9 aspect ratio.`","`Homey shakes his hips and wiggles his head while showing thumbs up. Slow camera zoom in on his face. Clean video, no text, Disney Pixar style.`"
5,0:28 - 0:35,7,MC-01,0:00 - 0:07,"ปรับลดความเร็ววิดีโอ (Slow-motion 0.8x) เพื่อสอดคล้องกับจังหวะเพลงกล่อมเด็กที่นุ่มนวลขึ้น, ปรับแต่งย้อมสี (Color Filter) ให้เป็นโทนสีอบอุ่นอมเหลืองทองอ่อนๆ",0:11 ชะโอละเห่นอนเปลหลับไป / 0:15 ชะโอละเห่นอนเปลหลับไป,น้องโฮมมี่เอียงหัวประกบฝ่ามือหนุนใต้แก้ม หลับตาพริ้ม ส่ายร่างกายไปมาเบาๆ เลียนแบบเปลไกวกล่อมตัวนอน,Medium Shot,Eye-level,"`Medium shot of Homey the monkey tilting his head, closing his eyes, and placing his hands together under his cheek as if sleeping, swaying gently. Disney Pixar 3D animation style, soft studio lighting, octane render, smooth polished textures, 16:9 aspect ratio.`","`Homey sways slowly side-to-side in a sleeping pose. The background colors shift slightly to warmer tones. Clean video, no text, Disney Pixar style.`"
6,0:35 - 0:42,7,MC-02,0:00 - 0:07,ตัดข้ามฉากมาที่ชายหาดริมทะเล! ใช้ภาพมุมกว้าง Wide Shot ปกติของ MC-02 เพื่อเปิดตัวสถานใหม่ให้ผู้ชมเห็นทิวทัศน์ที่สดชื่น,0:20 จับปูดำ ขยำปูนา (รอบที่ 2),น้องโฮมมี่เปลี่ยนฉากหลังมาเต้นบนพื้นทรายละเอียดสีครีมของชายหาด โยกตัวไปมาตามจังหวะกลองกล่อมเด็ก,Wide Shot,Eye-level,"`Wide shot of Homey the monkey dancing on a white sandy beach with turquoise sea water in the background. A cute blue-spotted swimming crab and a green mangrove crab wave their claws. Disney Pixar 3D animation style, octane render, smooth polished textures, bright sunny day, 16:9 aspect ratio.`","`Homey does the 'crab claws grab and squeeze' dance on the sand. The ocean waves roll in gently behind him. Clean video, no text, Disney Pixar style.`"
7,0:42 - 0:49,7,MC-02,0:03 - 0:10,ซูมและครอปภาพ 130% (Medium Shot) เพื่อให้เห็นตัวละครหลักขยับกระโดดเด่นขึ้นชัดเจนริมทะเล ซ้อนทับ MC-06 (ปูม้าและปูทะเลเต้นดุ๊กดิ๊ก) ด้านล่าง,0:23 จับปูม้า คว้าปูทะเล,น้องโฮมมี่เต้นกระโดดสเต็ปเอื้อมแขนคว้าจับปูม้าและปูทะเลที่วิ่งอยู่บนพื้นทรายอย่างสนุกสนาน,Medium Shot,Eye-level,"`Medium shot of Homey the monkey leaping sideways with arms raised high, catching sand particles. Beautiful tropical beach background. Disney Pixar 3D animation style, octane render, smooth polished textures, highly detailed, 16:9 aspect ratio.`","`Homey does the side jump-reach motion. Camera tracks left to right keeping Homey centered. Clean video, no text, Disney Pixar style.`"
8,0:49 - 0:56,7,MC-02,0:00 - 0:07,กลับด้านวิดีโอซ้าย-ขวา (Mirror/Flip Horizontal) และซูมภาพ 150% เจาะเห็นตัวละครครึ่งตัวเต้นท่าชูนิ้วโป้งแสนสนุก,0:27 สนุกจริงเอย แล้วเลยนอนเปล,โฮมมี่ยิ้มแป้นส่ายสะโพกชูสองนิ้วโป้งท้าทายแสงแดดทะเลพาสเทลสวยงาม,Medium Shot,Slight high-angle,"`Medium shot of Homey the monkey showing two thumbs up, dancing on the beach. Behind him, two cartoon crabs are also raised up on their legs dancing. Disney Pixar 3D animation style, octane render, smooth polished textures, bright lighting, 16:9 aspect ratio.`","`Homey shakes hips and shows thumbs up. The crabs in the background mimic the hip shake. Clean video, no text, Disney Pixar style.`"
9,0:56 - 1:03,7,MC-02,0:03 - 0:10,"ปรับความเร็วสโลว์ (0.8x), ย้อมสีฟิลเตอร์โทนเย็นอมส้มชมพู (Warm Sunset Filter) เพื่อเลียนแบบบรรยากาศชายหาดยามพระอาทิตย์อัสดงที่นุ่มนวลชวนฝัน",0:30 ชะโอละเห่นอนเปลหลับไป / 0:35 ชะโอละเห่นอนเปลหลับไป,น้องโฮมมี่โพสท่านอนหลับเอียงคอหนุนฝ่ามือและโยกตัวไปมาเบาๆ บนชายหาดยามเย็นที่พระอาทิตย์กำลังตกดิน,Medium Shot,Eye-level,"`Close-up of Homey the monkey looking sleepy, head tilted onto his hands, blinking slowly. Sunset beach lighting with golden reflections. Disney Pixar 3D animation style, octane render, smooth polished textures, 16:9 aspect ratio.`","`Homey sways slowly side-to-side under warm sunset lighting. The camera does a slow drift forward. Clean video, no text, Disney Pixar style.`"
10,1:03 - 1:10,7,MC-03,0:00 - 0:07,ตัดสลับกลับมาฉากทุ่งนา! ซูมเจาะ 140% ค้นหาเฟรมซ้ายถึงกลาง (focus on Homey & Dad) เพื่อเน้นเฉพาะโฮมมี่และพ่อยีราฟที่เพิ่งเดินมาเต้นจับปูร่วมกัน,0:40 จับปูดำ ขยำปูนา (รอบที่ 3),พ่อยีราฟ (Dad) ก้มหัวยาวลงมาเต้นท่าจับขยำปูร่วมกับน้องโฮมมี่ บนทางเดินคันนาสีเขียว,Medium Shot,Eye-level,"`Wide shot of Homey the monkey and Dad (the tall giraffe wearing a green polo shirt) both crouching and dancing together on a path in the paddy field. They are making crab claw hands. Disney Pixar 3D animation style, octane render, smooth polished textures, bright lighting, 16:9 aspect ratio.`","`Homey and Dad perform the crab dance in sync. Dad bends his long neck to look at Homey while doing the motion. Clean video, no text, Disney Pixar style.`"
11,1:10 - 1:17,7,MC-03,0:03 - 0:10,ใช้มุมกว้าง Wide 100% ปกติ เพื่อรองรับสัดส่วนความสูงใหญ่ที่น่ารักของพ่อยีราฟและท่าเต้นกระโดดของทั้งสอง,0:43 จับปูม้า คว้าปูทะเล,พ่อยีราฟและน้องโฮมมี่เต้นสเต็ปกระโดดก้าวซ้าย-ขวาพร้อมยื่นแขนคว้าอย่างร่าเริงแจ่มใสเคียงข้างกัน,Wide Shot,Eye-level,"`Wide shot of Dad the giraffe and Homey the monkey jumping and reaching their hands sideways, trying to catch floating bubbles shaped like crabs. Disney Pixar 3D animation style, octane render, smooth polished textures, 16:9 aspect ratio.`","`Homey and Dad perform the side jump-reach in sync to the beat. Camera does a gentle truck left. Clean video, no text, Disney Pixar style.`"
