ซีนที่ (Scene No),ช่วงเวลา (Time),ความยาว (Duration),คิวเสียง (Lyric Cue),ภาพเหตุการณ์ (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),การจัดแสง (Lighting),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location)
1,0:00 - 0:10,10,[Intro] (เสียงดนตรีเปียโนเปิดตัวที่แสนสงบ),แม่หมี (Mom) จูงมือน้องโฮมมี่ (Homey) เดินมายังริมทะเลสาบแก้วใสกระจกเงา (Mirror Lake) ที่สะท้อนแสงดาวและดาราจักรในท้องฟ้ากว้าง ท้องฟ้าเบื้องบนเผยดวงจันทร์ครึ่งเสี้ยวสีทองดวงใหญ่แขวนห้อยเปล่งแสงนวลเหนือผิวน้ำ,Wide Shot,"Eye-level, slow tracking left","Dreamy volumetric moonlight, soft purple and deep blue ambient light.","`A wide shot of Homey (a small cute monkey character wearing a striped t-shirt and light beige overalls) and Mom (a gentle, fluffy brown bear wearing a white shirt and a cozy pink knit cardigan) standing hand-in-hand by a quiet mirror-like lake. The lake perfectly reflects a giant glowing golden crescent moon and twinkling stars in the dark indigo sky. Disney Pixar 3D animation style, clay textures, soft dreamy volumetric lighting, 16:9 aspect ratio.`","`Very slow-motion camera tracking left (0.1 units/sec). Mom and Homey stand hand-in-hand at the water's edge, gazing up. The reflections on the water's surface ripple very gently. Twinkling stars in the background. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Mirror Lake of Stardust
2,0:10 - 0:20,10,0:16 ดวงจันทร์ครึ่งเสี้ยว / 0:18 ลอยลดเลี้ยว / 0:21 บนฟ้าไกล,แม่หมีพาโฮมมี่เดินบนผิวน้ำที่สะท้อนดาวอย่างอัศจรรย์ เข้าใกล้ชิงช้าพระจันทร์ที่ทำจากดวงจันทร์ครึ่งเสี้ยวสีทอง แขวนด้วยเถาวัลย์พฤกษาเรืองแสงห้อยลงมาจากสรวงสวรรค์,Medium Wide Shot,"Slight low-angle, slow dolly in","Soft warm golden light radiating from the crescent moon swing, deep blue fill.","`Medium wide shot from a slight low-angle of Mom bear leading Homey the monkey over the glowing, reflective water toward a large crescent moon swing. The swing is hanging by glowing green vines from a starry sky. Disney Pixar 3D animation style, clay rendering, magical glowing light, soft water reflection, 16:9 aspect ratio.`","`Slow-motion camera dolly-in. Mom and Homey take slow, gentle steps on the water's surface, creating soft glowing rings of light. The crescent moon swing sways gently in the breeze. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Crescent Moon Swing
3,0:20 - 0:30,10,0:24 แกว่งไกวช้าๆ / 0:26 กล่อมดวงใจ / 0:29 ให้เข้านอน,แม่หมีโอบอุ้มโฮมมี่ขึ้นไปนั่งบนเบาะรองเมฆหนานุ่มตรงกลางโค้งชิงช้าดวงจันทร์ครึ่งเสี้ยว โฮมมี่นั่งห้อยขาแกว่งช้าๆ ด้วยความสนุกสนานปนง่วงนอน,Medium Shot,"Eye-level, stationary","Warm golden glow illuminating the characters' faces, soft rim lighting.","`Medium shot of Homey the monkey sitting comfortably on a soft cloud cushion inside the glowing golden crescent moon swing. Mom bear stands beside the swing, gently holding its vine rope. The background is a starry twilight sky with water reflections below. Disney Pixar 3D animation style, clay textures, cozy warm lighting, 16:9 aspect ratio.`","`Slow-motion stationary shot. The crescent moon swing gently sways back and forth (10 degrees angle). Homey swings his legs sleepily, smiling. Mom bear stands beside the swing, smiling and gently guiding it. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Crescent Moon Swing
4,0:30 - 0:40,10,0:31 โยกเย / 0:33 โยกเย / 0:34 หลับตาพริ้ม / 0:36 ในคืนฝัน,แม่หมีค่อยๆ ดันชิงช้าพระจันทร์ให้แกว่งไกวเป็นจังหวะช้าๆ เหนือผิวน้ำทะเลสาบ โฮมมี่นั่งกุมเชือกเถาวัลย์ไว้ ตาเริ่มปรือ เคลิบเคลิ้มไปกับจังหวะโยกเยช้าๆ,Wide Shot,"High-angle looking down at the swing and its mirror reflection on the water, slow panning left","Volumetric gold light beam, soft twilight shadows.","`Wide shot from a high-angle looking down at Mom bear gently pushing the crescent moon swing over the calm water. The swing and characters are perfectly mirrored in the starlit lake below. Disney Pixar 3D animation style, clay render, double mirror image, magical nighttime vibe, 16:9 aspect ratio.`","`Slow-motion camera panning left. The crescent moon swing bobs and sways in a smooth, rhythmic arc. Soft ripples spread outward on the water's surface, distorting the reflected stars slightly. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Starlit Ripple Lake
5,0:40 - 0:50,10,0:39 สายลม / 0:41 แผ่วเบา / 0:42 โอบกอดไว้ / 0:44 ใต้แสงจันทร์,สายลมแผ่วเบาพัดพากลุ่มละอองดาวระยิบระยับและกลีบดอกไม้เรืองแสงลอยผ่านเฟรม แม่หมีก้มลงลูบแก้มโฮมมี่และดึงผ้าห่มสีน้ำเงินลายดาวให้โฮมมี่ที่หลับตาพริ้ม,Medium Close-up,"Eye-level, slow tracking right","Soft warm key light, sparkling bokeh lights from stardust.","`Medium close-up shot of Homey the monkey sleepily closing his eyes inside the crescent moon swing, wrapped in a soft navy blue star-patterned blanket. Mom bear leans close, gently caressing his cheek. Glowing stardust floats around them. Disney Pixar 3D animation style, clay textures, warm comforting lighting, 16:9 aspect ratio.`","`Slow-motion camera tracking right. Glowing stardust particles drift across the frame in a soft breeze. Mom's hand gently caresses Homey's face. Homey smiles sleepily as he closes his eyes fully. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Crescent Moon Swing
6,0:50 - 1:00,10,0:47 ดาวดวงน้อยๆ / 0:51 ส่องแสงพร้อย / 0:53 ระยิบระยับ,กลุ่มดาวการ์ตูน 3 มิติหน้าตาน่ารักที่มีดวงตากลมโตและรอยยิ้มอ่อนโยน (ดาวดวงน้อยๆ) ลอยลงมาจากท้องฟ้ามาจับกลุ่มลอยอยู่ใกล้ๆ ชิงช้า เพื่อมองดูเด็กน้อยนอนหลับ,Wide Shot,"Slight low-angle, slow pan up","Multiple colorful pastel glows (pink, yellow, green) from the stars.","`Wide shot of several small, cute 3D cartoon stars with friendly smiling faces, glowing in soft pastel colors, floating around the crescent moon swing where Homey is sleeping. Mom bear sits on a nearby cloud stool watching the stars. Disney Pixar 3D animation style, clay rendering, magical glowing stars, 16:9 aspect ratio.`","`Slow-motion camera pan up. The cute smiling stars gently bob up and down, blinking their eyes and pulsing with warm light. The crescent moon swing sways very slowly in the center. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Crescent Moon Swing
7,1:00 - 1:10,10,0:55 ส่งรอยยิ้ม / 0:58 คอยรับ / 0:59 ให้คนเก่ง / 1:01 หลับฝันดี,ดาวดวงน้อยส่งแสงกะพริบเป็นจังหวะรูปหัวใจน่ารัก แม่หมีตบมือเบาๆ และยิ้มต้อนรับดวงดาวที่ส่งรอยยิ้มมากล่อมโฮมมี่ที่นอนหลับสนิทอย่างน่าเอ็นดู,Medium Shot,"Eye-level, slow orbital rotation","Warm volumetric starlight, soft highlights on Mom's fur.","`Medium shot of Mom bear smiling warmly at a cute glowing star that is blinking close to her. The sleeping Homey is nestled in the crescent moon swing. Soft pastel light highlights their features. Disney Pixar 3D animation style, clay textures, magical friendly starlight, 16:9 aspect ratio.`","`Slow-motion camera orbital rotation (20 degrees over 10s). The friendly star winks at Mom bear, who nods and smiles back. Homey breathes peacefully in the background on the moon swing. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Crescent Moon Swing
8,1:10 - 1:20,10,1:04 โยกเย / 1:05 โยกเย / 1:07 หลับตาพริ้ม / 1:09 ในคืนฝัน,ชิงช้าพระจันทร์ดึงตัวลอยขึ้นสู่น่านฟ้าเหนือทะเลสาบช้าๆ สะท้อนภาพม้าแก้วคริสตัลและดาวในน้ำเป็นแนวยาว แม่หมีก้าวขึ้นไปยืนบนแผ่นเมฆลอยได้คอยดูแลข้างๆ ชิงช้าที่แกว่งไกวเบาๆ,Wide Shot,"Low-angle looking up, slow tracking right","Bright, soft moonlight, twilight deep blue background.","`Wide shot from a low-angle of the crescent moon swing floating high above the mirror lake. Mom bear stands on a small fluffy white cloud beside the swing, holding the ropes gently. The sky is dark blue with nebula gas. Disney Pixar 3D animation style, clay rendering, wide cosmic look, 16:9 aspect ratio.`","`Slow-motion camera tracking right. The crescent moon swing bobs up and down gently as if floating on air currents. Mom's cloud platform follows beside it. Stars twinkle in the deep background. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Starlit Ripple Lake
9,1:20 - 1:30,10,1:11 สายลม / 1:13 แผ่วเบา / 1:14 โอบกอดไว้ / 1:17 ใต้แสงจันทร์,ลมค่คืนลูบผ้าห่มของโฮมมี่ให้ปลิวไสวช้าๆ ทะเลสาบเบื้องล่างนิ่งสงบสนิทราวกับกระจกบานใหญ่สะท้อนดวงจันทร์และดาราจักรอย่างเงียบสงบ แม่หมีกุมมือโฮมมี่ไว้ให้ความปลอดภัย,Close-up,"Eye-level focusing on their hands, static","Warm gold key light on their hands, soft deep blue background.","`Close-up shot of Mom bear's large furry hand gently holding the sleeping Homey's small hand inside the swing. The edge of the golden crescent moon glows warmly. The background is a soft twilight. Disney Pixar 3D animation style, clay textures, high detail, warm maternal connection, 16:9 aspect ratio.`","`Slow-motion static close-up. Mom's hand gives a soft, comforting squeeze to Homey's hand. The soft fabric of the star-patterned blanket moves gently in the light breeze. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Crescent Moon Swing
10,1:30 - 1:40,10,[Transition to Loop] / ดนตรีเปียโนบรรเลงจางลง,กล้องถอยห่างจากตัวชิงช้าอย่างช้าๆ เผยให้เห็นทิวทัศน์กว้างใหญ่ของชิงช้าดวงจันทร์ครึ่งเสี้ยวเหนือทะเลสาบกระจกเงากลางคืนที่มีดวงดาวส่องประกาย ก้อนเมฆเคลื่อนตัวกลับเข้าสู่ตำแหน่งเริ่มต้นเพื่อสร้างการลูปอย่างราบรื่น,Super Wide Shot,"Eye-level, slow dolly out","Magical deep indigo and gold lighting, volumetric glowing rays.","`Super wide shot of the crescent moon swing floating peacefully over the glassy mirror lake. Mom bear stands beside it on a cloud. The giant moon and stars are reflected perfectly on the water. Disney Pixar 3D animation style, clay textures, soft volumetric light, highly detailed, 16:9 aspect ratio.`","`Slow-motion camera dolly out. The swing and characters float away slowly. The stars and clouds drift back to their initial positions in Scene 1, creating a perfect seamless transition. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Mirror Lake of Stardust
