ซีนที่ (Scene No),ช่วงเวลา (Time),ความยาว (Duration),คิวเสียง (Lyric Cue),ภาพเหตุการณ์ (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),การจัดแสง (Lighting),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location)
1,0:00 - 0:10,10,[Intro] (เสียงดนตรีบรรเลงนำด้วยเปียโนและเครื่องสายอย่างนุ่มนวล),แม่หมี (Mom) จูงมือน้องโฮมมี่ (Homey) เดินไต่ขึ้นมาตามกิ่งไม้ยักษ์ที่นุ่มหนาของต้นไม้ศักดิ์สิทธิ์ ใบไม้รอบตัวส่งแสงเรืองรองสีเขียวพาสเทลและสีเหลืองนวลอย่างอบอุ่น ท้องฟ้าค่ำคืนสลัวเห็นดวงดาวและดวงจันทร์หลบอยู่หลังแนวไม้ไกลๆ,Wide Shot,"Eye-level, slow tracking left to right","Soft green and yellow glow from the luminous foliage, dark indigo night ambiance.","`A wide shot of Homey (a small cute monkey character wearing a striped t-shirt and light beige overalls) and Mom (a gentle, fluffy brown bear wearing a white shirt and a cozy pink knit cardigan) walking hand-in-hand along a massive, thick moss-covered tree branch. The leaves of the giant tree glow with soft green and yellow pastel light. In the background, a starry night sky is visible through the branches. Disney Pixar 3D animation style, clay textures, soft dreamy volumetric lighting, 16:9 aspect ratio.`","`Very slow-motion camera tracking right (0.1 units/sec). Mom and Homey take slow, gentle steps on the thick branch. The leaves around them sway slightly, casting gentle moving shadows. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Luminous Giant Branch
2,0:10 - 0:20,10,0:14 ค่ำคืนนี้ / 0:15 เงียบสงบ / 0:18 แสงจันทร์หลบ / 0:20 หลังมวลไม้,ทั้งสองมาหยุดพักที่ลานกิ่งไม้แบนเรียบขนาดใหญ่ที่ปูด้วยเบาะใบไม้นุ่มนวล โฮมมี่เอนตัวลงพิงกับต้นไม้พลางมองขึ้นไปบนฟ้า เห็นพระจันทร์ดวงโตยิ้มหวานแอบอยู่หลังกลุ่มใบไม้เรืองแสงอย่างน่ารัก,Medium Wide Shot,"Slight low-angle looking up, slow dolly in","Warm golden backlight from the hidden moon, soft green fill light.","`Medium wide shot from a slight low-angle of Mom bear and Homey the monkey sitting on a flat, mossy area of the giant branch. Homey is leaning sleepily against the tree trunk, looking up at a giant glowing moon that is partially hidden behind luminous leaves. Disney Pixar 3D animation style, clay rendering, cozy volumetric moonlight, warm green highlights, 16:9 aspect ratio.`","`Slow-motion camera dolly-in. Homey blinks slowly, looking up. The hidden moon pulses with a warm, gentle light. Mom smiles warmly and wraps her arm around Homey's shoulder. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Luminous Giant Branch
3,0:20 - 0:30,10,0:22 หลับตาลง / 0:24 พักผ่อนกาย / 0:25 ทิ้งความเหนื่อยล้า / 0:27 ให้จางหายไป,แม่หมีหยิบใบไม้เรืองแสงใบใหญ่นุ่มๆ สีทองมาห่มคลุมตัวให้โฮมมี่เสมือนผ้าห่ม โฮมมี่หลับตาพริ้มอมยิ้ม ผ่อนคลายร่างกายที่ล้ามาทั้งวันบนกิ่งไม้อันปลอดภัย,Medium Shot,"High-angle looking down at the bed, stationary","Soft warm golden glow from the leaf blanket, dark indigo surroundings.","`Medium shot of Homey the monkey lying down on a soft bed of moss on the giant branch. Mom bear is gently pulling a large, soft golden-glowing leaf blanket over him. The scene is warmly illuminated by the glow of the leaves. Disney Pixar 3D animation style, clay textures, cozy and comforting lighting, 16:9 aspect ratio.`","`Slow-motion stationary shot. Mom bear slowly pulls the glowing leaf blanket up to Homey's chest, patting it gently. Homey exhales sleepily, his eyelids fluttering. The leaves around them pulse with a very slow, calming glow. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Luminous Giant Branch
4,0:30 - 0:40,10,0:29 หิ่งห้อยน้อย / 0:31 ค่อยๆ บิน / 0:33 ส่องแสงนวล / 0:35 สวยงามตา,หิ่งห้อยน้อย 3 มิติเรืองแสงนวลตาค่อยๆ บินโผล่ออกมาจากกลุ่มใบไม้และเปลือกไม้ บินลอยละล่องหมุนวนช้าๆ รอบเตียงนอนใบไม้ของโฮมมี่ ทำให้เกิดจุดแสงระยิบระยับสวยงามทั่วบริเวณ,Wide Shot,"Eye-level, slow orbital rotation","Sparkling golden and green bokeh lights, magical glow casting reflections on characters.","`Wide shot of Mom bear watching as dozens of tiny, friendly glowing 3D cartoon fireflies slowly emerge and swarm in a peaceful circle around the sleeping Homey. The setting is on a branch of a giant tree glowing with soft pastel light. Disney Pixar 3D animation style, clay rendering, magical glowing fireflies, fantasy nighttime vibe, 16:9 aspect ratio.`","`Slow-motion camera orbital rotation (15 degrees over 10s). The fireflies drift, dance, and pulse with soft, warm golden lights around the bed. Mom sways her head gently watching them. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Luminous Giant Branch
5,0:40 - 0:50,10,0:37 วิบวับ / 0:39 ทั่วพนา / 0:41 กล่อมคนเก่ง / 0:43 ให้หลับฝันดี,หิ่งห้อยนับร้อยบินขึ้นสูงสลับกะพริบแสงวิบวับส่องประกายสว่างไสวไปทั่วผืนป่าด้านหลัง แม่หมีตบมือเบาๆ และเฝ้ามองกลุ่มหิ่งห้อยที่ร่ายรำเป็นวงกลมกล่อมโฮมมี่ให้หลับฝันดี,Medium Wide Shot,"Low-angle looking up, slow panning right","Enchanting fireworks-like firefly light paths, warm ambient glow.","`Medium wide shot from a low-angle of the giant tree branch. Hundreds of tiny glowing fireflies form beautiful swirling patterns in the air. Mom bear smiles and claps gently. Homey is fast asleep under his golden leaf blanket. Disney Pixar 3D animation style, clay textures, magical lighting trails, emotional starry atmosphere, 16:9 aspect ratio.`","`Slow-motion camera panning right. The fireflies swirl in a majestic, slow-moving tornado of light, lighting up the foliage of the giant tree. Mom sways in rhythm to the movement. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Luminous Giant Branch
6,0:50 - 1:00,10,0:46 สายลมพัด / 0:48 เย็นสบาย / 0:50 โอบกอดกาย / 0:52 ให้อุ่นใจ,สายลมอ่อนๆ พัดโชยมาปะทะกิ่งไม้ ใบไม้สีเขียวพาสเทลและเหลืองนวลพลิ้วไหวเป็นระลอกคลื่นช้าๆ ละอองสปาร์เคิลเรืองแสงปลิวละล่อง แม่หมีประคองโฮมมี่เข้ามากอดในอ้อมแขนเพิ่มความอุ่นใจ,Medium Shot,"Eye-level, slow tracking left","Backlighting from the foliage, cool blue night shadows.","`Medium shot of Mom bear sitting down, gently holding the sleeping Homey close to her chest. Soft wind blowing, causing leaves to sway and glowing dust particles to drift horizontally. Disney Pixar 3D animation style, clay rendering, wind motion, cool night blue lighting with warm highlights, 16:9 aspect ratio.`","`Slow-motion camera tracking left. Fluffy leaf branches sway slowly. Stardust particles float gently across the screen, mimicking a soft breeze. Mom tightens her warm embrace around Homey. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Luminous Giant Branch
7,1:00 - 1:10,10,0:54 ใต้ร่มไม้ / 0:56 ที่กว้างใหญ่ / 0:58 หลับตาพริ้ม / 1:00 ตลอดคืน,มุมกล้องซูมออก เผยให้เห็นร่มไม้ใหญ่ใบหนาแน่นของต้นไม้ศักดิ์สิทธิ์ที่กางกิ่งก้านโอบอุ้มสองแม่ลูกไว้ในอ้อมกอดธรรมชาติ ป้องกันอันตรายจากลมหนาวด้านนอก โฮมมี่หลับตาพริ้มอย่างปลอดภัย,Wide Shot,"High-angle looking down, slow dolly out","Warm dome-like light underneath the tree canopy, dark blue surrounding forest.","`Wide shot from a high-angle showing the massive canopy of the giant glowing tree. Mom bear and sleeping Homey are nestled safely in a hollow on the giant branch. The surrounding forest is dark blue, but the canopy glows with cozy green and gold light. Disney Pixar 3D animation style, clay textures, soft volumetric light, protective shelter mood, 16:9 aspect ratio.`","`Slow-motion camera dolly-out. The giant branch gently bobs. The glowing leaves of the canopy pulse slowly. Fireflies blink like tiny stars around the hollow. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Luminous Canopy
8,1:10 - 1:20,10,[ดนตรีบรรเลง] / หิ่งห้อยน้อย ค่อยๆ บิน,ดนตรีท่อนดนตรีคั่นดังขึ้นอย่างนุ่มนวล หิ่งห้อยกลุ่มใหม่ค่อยๆ บินลอยออกมารวมตัวกันเป็นรูปเครื่องหมายกุญแจซอลดนตรีลอยอยู่เหนือกิ่งไม้ แม่หมีเงยหน้าขึ้นมองดนตรีธรรมชาติด้วยความผ่อนคลาย,Medium Shot,"Eye-level, slow dolly in","Bright yellow and orange glow from the firefly music notes, soft background fill.","`Medium shot of Mom bear looking up in delight as a group of glowing fireflies forms a magical treble clef shape in the air. The sleeping Homey lies close by. The background is a soft twilight. Disney Pixar 3D animation style, clay rendering, magical firefly shape, 16:9 aspect ratio.`","`Slow-motion camera dolly-in. The fireflies forming the musical shape pulse and sway in sync with the soft rhythm. Mom bear sways gently to the music. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Luminous Giant Branch
9,1:20 - 1:30,10,1:11 ส่องแสงนวล / 1:13 สวยงามตา / 1:15 วิบวับ / 1:17 ทั่วพนา,แม่หมีเอื้อมมือไปจับมือเล็กๆ ของโฮมมี่ที่โผล่พ้นใบไม้ห่มนอนออกมาอย่างทะนุถนอม ละอองเรืองแสงอ่อนๆ ของหิ่งห้อยปลิวมาเกาะที่มือของทั้งสองสะท้อนความอบอุ่นผูกพัน,Close-up,"Low-angle focusing on their hands, static","Warm golden key light on their hands, soft green shadow background.","`Close-up shot of Mom bear's large furry hand holding Homey's tiny monkey hand on top of the moss. A tiny glowing firefly sits gently on their connected hands, emitting a soft warm light. Disney Pixar 3D animation style, clay textures, high detail, emotional maternal connection, 16:9 aspect ratio.`","`Slow-motion static close-up. Mom's hand gently squeezes Homey's hand. The tiny firefly on their hands glows softly, pulsing with light. Soft breathing motion of the sleeping Homey. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Luminous Giant Branch
10,1:30 - 1:40,10,[Transition to Loop] / ดนตรีเปียโนเบาๆ,กล้องถอยหลังออกมาเป็นมุมกว้างมาก เผยภาพต้นไม้เรืองแสงขนาดยักษ์ตั้งเด่นอยู่กลางผืนป่าที่มีหิ่งห้อยส่องประกายสลัวๆ และกิ่งก้านใบไม้ค่อยๆ เคลื่อนตัวกลับเข้าสู่ตำแหน่งเริ่มต้นเพื่อสร้างการลูปอย่างราบรื่น,Super Wide Shot,"Eye-level, slow dolly out","Magical deep indigo and gold lighting, volumetric glowing rays from the entire tree.","`Super wide shot of the giant glowing tree in the middle of a dark blue forest under a starry night sky. Hundreds of tiny fireflies blink throughout the forest. Mom and sleeping Homey are tiny figures on the glowing branch. Disney Pixar 3D animation style, clay textures, soft volumetric light, highly detailed, 16:9 aspect ratio.`","`Slow-motion camera dolly out. The giant tree shrinks in the frame. The branches and clouds slowly drift back into the initial positions of Scene 1, creating a perfect seamless transition. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Luminous Canopy
