ซีนที่ (Scene No),ช่วงเวลา (Time),ความยาว (Duration),คิวเสียง (Lyric Cue),ภาพเหตุการณ์ (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),การจัดแสง (Lighting),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ)
1,0:00 - 0:06,6,(ดนตรีอินโทร),"ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom) และ คุณยายเต่า (Granny) วิ่งเข้ามาในฉากจากทางซ้าย เดินไปที่ตรงกลางฉาก แล้ววิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้",Wide Shot,Eye-level,Clean studio lighting.,"`A happy family of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) run energetically into the frame from the left, pause briefly in the center, and then run out to the right, leaving the screen blank white. Smooth, dynamic movement.`"
2,0:06 - 0:12,6,ตื่นขึ้นมาในตอนเช้า ยิ้มรับวันใหม่,ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey) วิ่งเข้ามาในฉากจากทางซ้าย ยืดแขนยืดขาบิดขี้เกียจด้วยรอยยิ้มแฉ่งรับวันใหม่ตรงกลางฉาก แล้ววิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Shot,Eye-level,Clean studio lighting.,"`A small monkey cub named น้องโฮมมี่ (Homey) waking up and stretching with a bright smile, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`น้องโฮมมี่ (Homey) runs into the frame from the left, performs a cheerful stretch and yawn with a big smile in the center, and then runs out to the right, leaving the screen blank white. Energetic and happy movement.`"
3,0:12 - 0:18,6,มีความสุขอยู่รอบกายในบ้านของเรา,ฉากขาวว่างเปล่า แม่หมี (Mom) วิ่งเข้ามาในฉากจากทางซ้าย ถือแจกันและจัดดอกไม้ด้วยรอยยิ้มหวานตรงกลางฉาก แล้ววิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Shot,Eye-level,Clean studio lighting.,"`A kind bear mother named แม่หมี (Mom) arranging flowers, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`แม่หมี (Mom) runs into the frame from the left, gracefully arranges flowers in a vase in the center with a gentle smile, and then runs out to the right, leaving the screen blank white. Calm and elegant movement.`"
4,0:18 - 0:24,6,เรื่องสนุกมีมากมาย รอให้เราไปเรียนรู้,ฉากขาวว่างเปล่า พ่อยีราฟ (Dad) และ คุณยายเต่า (Granny) วิ่งเข้ามาในฉากจากทางซ้าย พ่อยีราฟอ่านหนังสือเล่มใหญ่ให้คุณยายเต่าฟังตรงกลางฉาก แล้วทั้งคู่ก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Shot,Eye-level,Clean studio lighting.,"`A giraffe father named พ่อยีราฟ (Dad) reading to a turtle grandmother named คุณยายเต่า (Granny), running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`พ่อยีราฟ (Dad) and คุณยายเต่า (Granny) run into the frame from the left. In the center, พ่อยีราฟ (Dad) reads a book to คุณยายเต่า (Granny) who listens attentively. They then run out to the right, leaving the screen blank white. Gentle and engaging interaction.`"
5,0:24 - 0:30,6,มาสิมา มาดูไปด้วยกัน,ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey) วิ่งเข้ามาในฉากจากทางซ้าย ทำท่าทางโบกมือชวนให้พ่อยีราฟ (Dad) และ คุณยายเต่า (Granny) เข้ามารวมกัน แล้ววิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Close-up,Low-angle,Clean studio lighting.,"`A playful monkey cub named น้องโฮมมี่ (Homey) running into the frame from the left, gesturing excitedly on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`น้องโฮมมี่ (Homey) runs into the frame from the left, excitedly gestures and beckons towards the center where พ่อยีราฟ (Dad) and คุณยายเต่า (Granny) are, then runs out to the right, leaving the screen blank white. Lively and inviting movement.`"
6,0:30 - 0:36,6,จับมือไว้แล้วก้าวไป,ฉากขาวว่างเปล่า พ่อยีราฟ (Dad) วิ่งเข้ามาในฉากจากทางซ้าย ยื่นมือออกไปให้น้องโฮมมี่ (Homey) จับ แล้ววิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Close-up,Eye-level,Clean studio lighting.,"`Close-up of a giraffe father's hand named พ่อยีราฟ (Dad) reaching out, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`พ่อยีราฟ (Dad) runs into the frame from the left, extends his large, gentle hand in the center as if to offer it, and then runs out to the right, leaving the screen blank white. Focus on the gesture of connection.`"
7,0:36 - 0:42,6,พร้อมหรือยังจะลุยไปกับพวกเรา,ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey) วิ่งเข้ามาในฉากจากทางซ้าย จับมือพ่อยีราฟ (Dad) แล้วกระโดดโลดเต้นอย่างดีใจตรงกลางฉาก จากนั้นทั้งคู่ก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Shot,Eye-level,Clean studio lighting.,"`A happy monkey cub named น้องโฮมมี่ (Homey) holding a giraffe father's hand and jumping with joy, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`น้องโฮมมี่ (Homey) runs into the frame from the left, grabs พ่อยีราฟ (Dad)'s outstretched hand in the center and jumps up and down with excitement, then runs out to the right, leaving the screen blank white. Exuberant and joyful movement.`"
8,0:42 - 0:48,6,โอ้ เพลงโฮมมี่แฟมิลี่(Theme Song),"ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom) และ คุณยายเต่า (Granny) วิ่งเข้ามาในฉากจากทางซ้าย ยืนเรียงรวมกันกลางฉากพร้อมส่งรอยยิ้มอบอุ่น แล้วทั้งหมดก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้",Wide Shot,Eye-level,Clean studio lighting.,"`The เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family) consisting of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) standing together happily, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`The entire เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family), including น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny), run into the frame from the left. They gather in the center, smiling warmly at each other, and then run out to the right, leaving the screen blank white. Unified and heartwarming movement.`"
9,0:48 - 0:54,6,ครอบครัวแสนอบอุ่นที่พร้อมจะแบ่งปัน,ฉากขาวว่างเปล่า แม่หมี (Mom) วิ่งเข้ามาในฉากจากทางซ้าย ยื่นตะกร้าผลไม้แบ่งปันให้คุณยายเต่า (Granny) ตรงกลางฉาก แล้วทั้งคู่ก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Close-up,Eye-level,Clean studio lighting.,"`A bear mother named แม่หมี (Mom) offering a fruit basket to a turtle grandmother named คุณยายเต่า (Granny), running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`แม่หมี (Mom) runs into the frame from the left, gently offers a fruit basket to คุณยายเต่า (Granny) in the center, who accepts it with a smile. แม่หมี (Mom) then runs out to the right, leaving the screen blank white. Kind and sharing gesture.`"
10,0:54 - 1:00,6,ความดีเล็กๆ เริ่มที่บ้านของเราทุกวัน,ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey) วิ่งเข้ามาในฉากจากทางซ้าย ช่วยแม่หมี (Mom) เก็บของเล่นใส่กล่องตรงกลางฉาก แล้วทั้งคู่ก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Shot,Eye-level,Clean studio lighting.,"`A monkey cub named น้องโฮมมี่ (Homey) helping a bear mother named แม่หมี (Mom) tidy up toys, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`น้องโฮมมี่ (Homey) runs into the frame from the left, helps แม่หมี (Mom) pick up and put away toys in the center, both smiling. They then run out to the right, leaving the screen blank white. Cooperative and helpful action.`"
