ซีนที่ (Scene No),ช่วงเวลา (Time),ความยาว (Duration),คิวเสียง (Lyric Cue),ภาพเหตุการณ์ (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),การจัดแสง (Lighting),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location)
1,0:00 - 0:10,10,[Intro] (เสียงดนตรีบรรเลงนำด้วยเปียโนและขลุ่ยแสนนุ่มนวล),แม่หมี (Mom) จูงมือน้องโฮมมี่ (Homey) เดินมาตามเส้นทางป่าเรืองแสง จนถึงปากถ้ำโอเอซิสที่มีน้ำตกละอองดาวไหลลงมาเป็นสายน้ำใสกิ๊งสีน้ำเงินอมเขียวเรืองแสง บนผิวน้ำมีใบไม้ลอยน้ำสีเขียวนุ่มขนาดใหญ่ลอยอยู่,Wide Shot,"Eye-level, slow tracking right","Dreamy volumetric lighting, glowing stardust mist, cool blue and purple forest ambiance.","`A wide shot of Homey (a small cute monkey character wearing a striped t-shirt and light beige overalls) and Mom (a gentle, fluffy brown bear wearing a white shirt and a cozy pink knit cardigan) standing hand-in-hand by a quiet magical lake inside a glowing cave. A beautiful stardust waterfall flows down into the lake, emitting soft glowing mist. Huge, soft green leaves float on the water's surface. Disney Pixar 3D animation style, clay textures, soft dreamy volumetric lighting, 16:9 aspect ratio.`","`Very slow-motion camera tracking right (0.1 units/sec). Mom and Homey stand hand-in-hand, looking at the glowing stardust waterfall. The stardust mist rises slowly and drifts in the air. Mild ripples on the water. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Stardust Waterfall Oasis
2,0:10 - 0:20,10,0:15 พับเรือน้อย ลอยล่องไป / 0:18 บนสายน้ำใส แสนเย็นฉ่ำ,โฮมมี่อมยิ้มและปล่อยเรือกระดาษสีขาวพับรูปหัวใจเรืองแสงตัวเล็กๆ ลงบนสายน้ำใสที่เย็นฉ่ำอย่างเบามือ เรือกระดาษส่องแสงสีส้มอุ่นนวลตาและเริ่มลอยละล่องไปช้าๆ,Medium Close-up,"Slight low-angle, slow dolly in","Warm golden glow from the paper boat, soft reflections on water.","`Medium close-up shot of Homey the monkey kneeling on a large floating leaf, gently placing a small, glowing white paper boat onto the clear, glowing blue water. Mom bear stands close behind, watching with a warm smile. Disney Pixar 3D animation style, clay rendering, warm glowing paper boat light, soft water reflection, 16:9 aspect ratio.`","`Slow-motion camera dolly-in. Homey releases the glowing paper boat, which gently floats away on the water. Mom strokes Homey's back. The paper boat glows with a soft, warm orange-gold light, leaving a tiny shimmering trail. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Floating Leaf Haven
3,0:20 - 0:30,10,0:23 แสงดาวนวล คอยชี้นำ / 0:27 ลอยลำ สู่ นิทรา,แสงดาวนวลตารูปดวงดาวน้อยๆ บนท้องฟ้ากะพริบส่งประกายแสงสีเหลืองทองเชื่อมลงมาเป็นเส้นทางสว่างชี้ทางนำเรือพับกระดาษลำจิ๋วให้ลอยไปข้างหน้า โฮมมี่เอนตัวนอนพิงแม่หมีมองเรือด้วยความเคลิบเคลิ้ม,Wide Shot,"Eye-level, slow panning left","Volumetric starlight beam, warm gold highlight on characters.","`Wide shot of Mom bear sitting on a large floating leaf with Homey the monkey leaning sleepily against her. A path of soft golden starlight shines down from the sky, guiding the tiny glowing paper boat across the water. Disney Pixar 3D animation style, clay textures, magical starlight beam, 16:9 aspect ratio.`","`Slow-motion camera panning left. The glowing paper boat floats along the starlight path on the water. Mom bear gently wraps her arm around Homey. Shimmering star dust particles float in the air. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Stardust Waterfall Oasis
4,0:30 - 0:40,10,0:33 ล่องลอยไป ช้าๆ / 0:37 ถึงเวลา หยุดพักผ่อน,โฮมมี่นอนลงบนเบาะนอนมอสสีเขียวนุ่มตรงกลางใบไม้ลอยน้ำขนาดใหญ่ แม่หมีจัดท่านอนให้โฮมมี่อยู่อย่างสบายที่สุด เพื่อเตรียมหยุดพักผ่อนในคืนที่เงียบสงบ,Medium Wide Shot,"High-angle looking down at the leaf bed, stationary","Soft warm key light from the glowing paper boat nearby, cool ambient blue.","`Medium wide shot from a high-angle of Homey the monkey lying sleepily on a soft mossy bed in the center of a giant floating leaf. Mom bear is gently tucking him in, placing a warm soft leaf blanket over him. The glowing paper boat is near the edge of the leaf. Disney Pixar 3D animation style, clay rendering, warm cozy lighting, 16:9 aspect ratio.`","`Slow-motion stationary shot. Mom bear slowly pulls the leaf blanket up to Homey's shoulders and pats him. Homey's eyelids flutter sleepily as he closes his eyes. The floating leaf sways gently on the quiet water. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Floating Leaf Haven
5,0:40 - 0:50,10,0:41 สายน้ำพัด คอยกล่อมนอน / 0:44 ทิ้งความกังวล แล้วหลับตา,คลื่นน้ำแผ่วเบาสะท้อนแสงจันทร์กะพริบตาเป็นจังหวะ ราวกับเสียงสายน้ำกำลังพัดกล่อม โฮมมี่หลับตาลงอย่างสงบไร้ความกังวล แม่หมีลูบหัวโฮมมี่ช้าๆ ด้วยรัก,Close-up,"Eye-level, static","Warm golden light on Homey's face, sparkling bokeh lights from water ripples.","`Close-up shot of Homey the monkey sleeping peacefully with his eyes fully closed on the leaf pillow. Mom bear's large, gentle furry hand is softly resting on and caressing his head. The background is a soft glowing blue water reflection. Disney Pixar 3D animation style, clay textures, warm cozy lighting, 16:9 aspect ratio.`","`Slow-motion static close-up. Mom's hand gently and slowly caresses Homey's forehead in a repetitive, comforting motion. Soft water ripples in the background reflect starlight. Peaceful breathing motion. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Floating Leaf Haven
6,0:50 - 1:00,10,0:50 คลื่นลมเบา พัดบางๆ / 0:54 สองข้างทาง ช่างเงียบสงบ,ลมโชยพัดผ่านบางๆ ทำให้ใบไม้ยักษ์และดอกไม้เรืองแสงสีชมพูรอบๆ โอเอซิสไหวตัวช้าๆ สองข้างทางเงียบเชียบมีเพียงแสงไฟกะพริบจากหิ่งห้อยน้ำดวงน้อยๆ แม่หมีนั่งเฝ้าโฮมมี่อย่างอบอุ่นใจ,Wide Shot,"Eye-level, slow tracking left","Dreamy sunset-twilight gradient (pink, gold, deep purple), glowing flora.","`Wide shot of Mom bear sitting on the floating leaf next to the sleeping Homey. Soft night wind blows, causing glowing water lily flowers and leaves to sway slowly. Shimmering fireflies drift above the water. Disney Pixar 3D animation style, clay rendering, wind motion effect, magical nighttime vibe, 16:9 aspect ratio.`","`Slow-motion camera tracking left. The leaves and glowing flowers sway gently in the breeze. Tiny stardust particles float horizontally. Mom sits quietly, looking at the sleeping Homey. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Stardust Waterfall Oasis
7,1:00 - 1:10,10,0:58 นิทานสร้าง ถึงตอนจบ / 1:03 บรรจบ คืนฝันดี,ในฝันของโฮมมี่ ฝูงปลาแสงดาว 3 มิติเรืองแสงสีทองลอยแหวกว่ายล้อมรอบก้อนใบไม้ลอยน้ำช้าๆ ดั่งภาพในนิทานก่อนนอน แม่หมียิ้มบางๆ และชี้ดูความสวยงามเงียบๆ,Wide Shot,"Slight low-angle focusing on the swimming fishes, slow orbital rotation","Glowing gold and cyan lights from the starry fish, casting soft patterns on the leaves.","`Wide shot of Mom bear watching as glowing 3D cartoon starry fish swim and leap gently in the glowing blue water around the sleeping Homey's leaf bed. Disney Pixar 3D animation style, clay textures, magical glowing fish, fairytale mood, 16:9 aspect ratio.`","`Slow-motion camera orbital rotation (20 degrees over 10s). The glowing fish drift and circle slowly in the water, leaving soft light trails. Mom sways in rhythm. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Floating Leaf Haven
8,1:10 - 1:20,10,[ดนตรีบรรเลง] / ล่องลอยไป ช้าๆ,ดนตรีคั่นบรรเลงขึ้นอย่างละมุนละไม น้ำตกละอองดาวเบื้องหลังไหลเอื่อยลงมาเป็นสายธารเรืองแสงสวยงามจับตา เรือกระดาษพับลอยเข้าไปใกล้น้ำตก ละอองแสงทองส่องสะท้อนมายังโฮมมี่ที่นอนหลับสนิท,Medium Wide Shot,"Low-angle looking up, slow dolly out","Volumetric golden water spray glow, soft twilight shadows.","`Medium wide shot from a low-angle of the stardust waterfall glowing brightly in the background. The small paper boat floats near its base. Mom and sleeping Homey are on the leaf bed in the foreground, bathed in soft golden light. Disney Pixar 3D animation style, clay rendering, magical water splash glow, 16:9 aspect ratio.`","`Slow-motion camera dolly-out. The stardust waterfall glows and flows slowly, creating a shimmering water spray. The paper boat sways on the ripples. Mom adjusts Homey's blanket. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Stardust Waterfall Oasis
9,1:20 - 1:30,10,1:08 ล่องลอยไป ช้าๆ / 1:12 ถึงเวลา หยุดพักผ่อน,แม่หมีเอื้อมมือไปจับมือเล็กๆ ของโฮมมี่อย่างทะนุถนอม ละอองดาวสีทองปลิวมาเกาะที่มือของทั้งคู่สะท้อนความผูกพันและอบอุ่นใจ,Close-up,"Low-angle looking at their hands, static","Warm gold key light on their hands, soft blue background.","`Close-up shot of Mom bear's large, warm brown furry hand gently holding Homey's tiny, soft monkey hand on the moss bed. A soft golden stardust glow illuminates their hands. Disney Pixar 3D animation style, clay textures, high detail, emotional maternal connection, 16:9 aspect ratio.`","`Slow-motion static close-up. Mom's hand gives a soft, comforting squeeze to Homey's hand. The soft leaf blanket moves gently with Homey's breathing. Shimmering particles drift. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Floating Leaf Haven
10,1:30 - 1:40,10,[Transition to Loop] / ดนตรีเปียโนบรรเลงจางลง,กล้องถอยห่างจากตัวใบไม้ลอยน้ำอย่างช้าๆ เผยให้เห็นทิวทัศน์กว้างใหญ่ของน้ำตกละอองดาวและบ่อน้ำกระจกเงาที่มีเรือพับกระดาษลอยอยู่ ก้อนเมฆสปาร์เคิลเคลื่อนตัวกลับเข้าสู่ตำแหน่งเริ่มต้นเพื่อสร้างการลูปอย่างราบรื่น,Super Wide Shot,"Eye-level, slow dolly out","Magical deep indigo and gold lighting, volumetric glowing rays from the waterfall.","`Super wide shot of the stardust waterfall oasis inside a glowing cave. Mom bear and sleeping Homey are on the giant floating leaf in the center of the lake. The glowing paper boat floats nearby. Disney Pixar 3D animation style, clay textures, soft volumetric light, highly detailed, 16:9 aspect ratio.`","`Slow-motion camera dolly out. The floating leaf and characters float away slowly. The waterfall and stardust mist drift back to their initial positions in Scene 1, creating a perfect seamless transition. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Stardust Waterfall Oasis
