Scene No,Start Time,End Time,Duration (s),Audio Cue / Lyrics,Visual Action Description,Shot Type,Camera Angle,Lighting,Photo Prompt,Characters in Scene,Location of Scene,Location Photo Prompt,Motion Prompt
1,0:00,0:08,8,(ดนตรีอินโทรเริ่มต้น สดใส ดึงดูดความสนใจ),เปิดฉากด้วยภาพมุมกว้าง (Wide Shot) ของสนามเด็กเล่น Neighborhood Playground ในยามเช้า แสงแดดสีทองอบอุ่นส่องสว่าง น้องโฮมมี่ (Homey) ลูกลิงน้อยแสนซนกระโดดโลดเต้นและวิ่งเล่นอย่างสนุกสนานบนสนามหญ้าสีเขียวขจีอย่างมีชีวิตชีวา,Wide Shot,Eye-level,Bright sunny day,"A wide shot of a colorful suburban playground with slides, swings, and green grass lawns under a bright, sunny sky. A small, energetic monkey cub named น้องโฮมมี่ (Homey) with big round eyes, wearing a striped t-shirt and blue denim overalls, is jumping joyfully. The visual style is that of a modern 3D animated movie with smooth plasticine clay textures and warm, volumetric lighting.",น้องโฮมมี่ (Homey),Neighborhood Playground,"An environment concept design of a colorful suburban playground with slides, swing sets, and climbing structures. The ground is a vibrant green grass lawn under a bright sunny sky, surrounded by tall shady trees. Modern 3D animated film aesthetic with smooth plasticine clay textures and soft volumetric lighting, wide view.","A slow camera pan across the sunny playground, following the monkey cub น้องโฮมมี่ (Homey) as he runs and skips with excitement."
2,0:08,0:14,6,(ดนตรีจังหวะสนุกสนาน โฮมมี่กระโดดเล่นโลดเต้น),น้องโฮมมี่ (Homey) วิ่งเข้าไปทักทาย พ่อยีราฟ (Dad) และ แม่หมี (Mom) ที่ยืนยิ้มแย้มคอยเฝ้าดูแลอยู่บริเวณสนามเด็กเล่น บรรยากาศอบอุ่นและเปี่ยมด้วยความสุขของครอบครัว,Medium Shot,Eye-level,Soft warm light,"A medium shot of น้องโฮมมี่ (Homey) running happily to greet his parents in a sunny playground. Standing nearby are พ่อยีราฟ (Dad), a tall giraffe father in a green polo shirt, and แม่หมี (Mom), a gentle brown bear mother in a pink cardigan. The style is a modern 3D animation with clean claymation textures under soft, warm morning light.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)",Neighborhood Playground,"An environment concept design of a colorful suburban playground with slides, swing sets, and climbing structures. The ground is a vibrant green grass lawn under a bright sunny sky, surrounded by tall shady trees. Modern 3D animated film aesthetic with smooth plasticine clay textures and soft volumetric lighting, wide view.","The camera slowly pans in, capturing the warm family reunion as the parents smile and wave back to the monkey cub."
3,0:14,0:20,6,มีคนแปลกหน้า เดินเข้ามาใกล้ / ในมือมีของเล่น สีสันสดใส,น้องโฮมมี่ (Homey) กำลังยืนอยู่บนทางเดินเท้า Suburban Sidewalk ทันใดนั้น คนแปลกหน้า (Stranger) สุนัขจิ้งจอกเจ้าเล่ห์สวมฮู้ดสีม่วงเข้มและแว่นกันแดดสีดำค่อยๆ เดินเยื้องย่างเข้ามาใกล้ ในมือถือหุ่นยนต์ของเล่นสีแดงสดใสพยายามเสนอให้,Medium Shot,Eye-level,Cheerful daylight,"A medium shot on a clean suburban sidewalk with green hedges in the background. น้องโฮมมี่ (Homey) looks surprised as คนแปลกหน้า (Stranger), a cartoonish sly fox stranger wearing a dark purple hoodie and black sunglasses, approaches and offers him a vibrant red toy robot. The style is a modern 3D animated film with smooth clay textures under clear daylight.","น้องโฮมมี่ (Homey), คนแปลกหน้า (Stranger)",Suburban Sidewalk,An environment concept design of a clean suburban sidewalk next to a quiet residential street. Lush green hedges and suburban houses are visible in the background under a bright blue sky. Clear daylight in a modern 3D animated film style with clean clay textures.,"The stranger fox walks into the frame from the side, extending his hand to offer the toy robot as the camera tracks his movement."
4,0:20,0:28,8,ยื่นมาตรงหน้า เอ๊ะ น่าสนุกจัง / แต่เดี๋ยวก่อนนะ โฮมมี่ขอหยุดฟัง,ภาพโคลสอัป (Close-up) ของเล่นหุ่นยนต์สีแดงยื่นเข้ามาใกล้หน้าน้องโฮมมี่ (Homey) น้องลิงน้อยทำตาโตด้วยความสนใจในตอนแรก แต่จากนั้นเขาก็หยุดชะงัก ชักมือกลับ และมีสีหน้าครุ่นคิด นึกถึงคำเตือน,Close-up,Slightly Low-angle,Cheerful daylight,"A close-up shot of a colorful red toy robot being offered by a fox's hand on a suburban sidewalk. In the background, น้องโฮมมี่ (Homey) stands with a hesitant and thoughtful expression, pulling his hands back. The shot is taken from a slightly low-angle under natural daylight with a 3D animated claymation style.","น้องโฮมมี่ (Homey), คนแปลกหน้า (Stranger)",Suburban Sidewalk,An environment concept design of a clean suburban sidewalk next to a quiet residential street. Lush green hedges and suburban houses are visible in the background under a bright blue sky. Clear daylight in a modern 3D animated film style with clean clay textures.,"A slow camera zoom onto the monkey cub's face, capturing the shift in his expression from curiosity to caution."
5,0:28,0:34,6,นึกถึงคำสอน ของคุณพ่อคุณแม่,ภาพนึกย้อน (Flashback) ในความทรงจำของโฮมมี่ เห็น พ่อยีราฟ (Dad) ในเสื้อโปโลสีเขียว และ แม่หมี (Mom) ในเสื้อคาร์ดิแกนสีชมพู กำลังนั่งสั่งสอนน้องโฮมมี่อย่างอ่อนโยนและใจดีในห้องนั่งเล่นที่อบอุ่น,Medium Shot,Eye-level,Soft warm light,"A medium shot of a warm, cozy living room. In a soft-focus flashback, พ่อยีราฟ (Dad), a tall giraffe father in a green polo shirt, and แม่หมี (Mom), a gentle brown bear mother in a pink cardigan, are sitting together and speaking kindly to น้องโฮมมี่ (Homey). The scene features a warm, cinematic glow with a modern 3D animated film aesthetic.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom) (ในความทรงจำ)",Cozy Living Room,"An interior design sheet of a cozy and warm family living room. It features a comfortable fabric sofa, a wooden coffee table, a warm rug on the floor, and soft lighting from a lamp, creating an inviting atmosphere. Cute 3D animated film style with smooth claymation textures.",A gentle camera slow zoom onto the parents as they nod lovingly and gesture with advice towards the monkey cub.
6,0:34,0:40,6,ถ้าคนที่ไม่รู้จัก เราต้องระวังให้แน่ / เตรียมทำท่าไม้ตาย คาถาป้องกันตัว,ภาพตัดกลับมาที่ปัจจุบัน น้องโฮมมี่ (Homey) หันกลับมาเผชิญหน้ากับคนแปลกหน้า (Stranger) บนทางเดินเท้าอย่างมั่นใจ ยืนตัวตรงทำท่าเตรียมพร้อมใช้คาถาป้องกันตัวอย่างกล้าหาญ,Medium Close-up,Eye-level,Cheerful daylight,"A medium close-up of น้องโฮมมี่ (Homey) standing on the sidewalk. He has a determined, confident look on his face, with hands raised in a defensive ready stance to protect himself. The scene is bright and clean with a 3D animated clay texture style under natural daylight.","น้องโฮมมี่ (Homey), คนแปลกหน้า (Stranger)",Suburban Sidewalk,An environment concept design of a clean suburban sidewalk next to a quiet residential street. Lush green hedges and suburban houses are visible in the background under a bright blue sky. Clear daylight in a modern 3D animated film style with clean clay textures.,"The camera moves in closer to the monkey cub as he shifts his weight into a firm, brave stance and prepares to speak."
7,0:40,0:48,8,ไม่ ไม่ ไม่ ขอบคุณครับ / ไม่รับของจากคนแปลกหน้า,น้องโฮมมี่ (Homey) ยกมือทั้งสองข้างขึ้นมาโบกปฏิเสธ และส่ายหัวอย่างชัดเจน พูดปฏิเสธคนแปลกหน้า (Stranger) อย่างสุภาพแต่หนักแน่น หมาป่าจิ้งจอกดูหน้าถอดสีและอึ้งไป,Medium Close-up,Eye-level,Cheerful daylight,"A medium close-up of น้องโฮมมี่ (Homey) making a polite stop gesture with both hands raised, shaking his head to say no. In the background, คนแปลกหน้า (Stranger), the sly fox, looks taken aback and surprised by the rejection. The style is a clean 3D clay animation under soft outdoor light.","น้องโฮมมี่ (Homey), คนแปลกหน้า (Stranger)",Suburban Sidewalk,An environment concept design of a clean suburban sidewalk next to a quiet residential street. Lush green hedges and suburban houses are visible in the background under a bright blue sky. Clear daylight in a modern 3D animated film style with clean clay textures.,"The monkey cub shakes his head and pushes his hands forward in a polite 'no' gesture, while the fox stranger draws back his hand."
8,0:48,0:58,10,หันไปถามคุณพ่อคุณแม่ / ปลอดภัยแน่ๆ สบายใจจัง (พูด: โฮมมี่ไม่รับของจากคนแปลกหน้าครับ!),น้องโฮมมี่ (Homey) วิ่งจากทางเดินเท้ากลับเข้ามาหา พ่อยีราฟ (Dad) และ แม่หมี (Mom) ที่รออยู่บริเวณหน้าบ้านอย่างรวดเร็ว ปล่อยให้คนแปลกหน้าหมาป่าจิ้งจอกเดินถอยห่างหงอยๆ ออกไป,Wide Shot,Eye-level,Soft warm light,"A wide shot of a cozy home's front yard. น้องโฮมมี่ (Homey) runs happily toward his parents, พ่อยีราฟ (Dad) and แม่หมี (Mom), who are waiting with open arms on the green lawn. The fox stranger is walking away in the distant background. Warm, comforting golden light in a 3D animated style.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)",Homey's Front Yard,"An environment concept design of a cozy country-style house front yard. It features a neat white wooden fence, green grass lawn, small blooming flower beds, and a charming wooden cottage in the background under soft warm sunlight. Modern 3D animation style with clean claymation textures.","The camera tracks the monkey cub as he runs into his mother bear's warm hug, showing a sense of safety and relief."
9,0:58,1:04,6,พ่อฮีโร่ตัวสูง ยืนยิ้มแฉ่งรออยู่,ภาพช็อตมุมต่ำชี้ขึ้นหา พ่อยีราฟ (Dad) คุณพ่อยีราฟผู้สูงใหญ่ยืนยิ้มแฉ่งกว้างด้วยความภูมิใจที่โฮมมี่เชื่อฟังคำสั่งสอนและปลอดภัยจากคนแปลกหน้า,Medium Close-up,Low-angle,Bright sunny day,"A low-angle medium close-up of พ่อยีราฟ (Dad), a tall, friendly giraffe father wearing a green polo shirt. He is smiling warmly and proudly down toward the viewer. The background shows a soft-focus sunny yard. The style is a modern 3D animated film with smooth textures.",พ่อยีราฟ (Dad),Homey's Front Yard,"An environment concept design of a cozy country-style house front yard. It features a neat white wooden fence, green grass lawn, small blooming flower beds, and a charming wooden cottage in the background under soft warm sunlight. Modern 3D animation style with clean claymation textures.","A gentle camera tilt upwards, emphasizing the tall father's height as he smiles and gives a reassuring thumbs-up."
10,1:04,1:12,8,แม่หมีกางแขนกอด แม่คอยเฝ้าดู / ถ้ามีคนแปลกหน้า วิ่งมาหาผู้ใหญ่ / จำไว้นะเด็กๆ ปลอดภัยตลอดไป,แม่หมี (Mom) กางแขนกอดน้องโฮมมี่ (Homey) ด้วยความอบอุ่น พ่อยีราฟยืนลูบหัวคอยเฝ้าดูอย่างทะนุถนอม สื่อความหมายถึงความปลอดภัยที่เด็กๆ จะได้รับเมื่ออยู่ใกล้ผู้ใหญ่,Medium Shot,Eye-level,Soft warm light,"A medium shot of แม่หมี (Mom), a gentle brown bear mother in a pink knit cardigan, hugging น้องโฮมมี่ (Homey) protectively on the grass. Beside them, พ่อยีราฟ (Dad) smiles and gently pats the monkey cub's head. The setting is warm and cozy, with soft lighting and smooth 3D animation details.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)",Homey's Front Yard,"An environment concept design of a cozy country-style house front yard. It features a neat white wooden fence, green grass lawn, small blooming flower beds, and a charming wooden cottage in the background under soft warm sunlight. Modern 3D animation style with clean claymation textures.","The camera slowly pushes in, capturing the secure hug and the loving expressions of the parents and the child monkey."
11,1:12,1:18,6,(ดนตรี Instrumental Break จังหวะสั้นๆ),ภาพทัศนียภาพกว้างของสนามเด็กเล่น Neighborhood Playground แสงแดดสดใส ชิงช้าไกวเบาๆ อย่างสงบสุข ท้องฟ้าครามไร้เมฆหมอก ดนตรีดึงจังหวะเปลี่ยนผ่านสู่ท่อนถัดไป,Wide Shot,High-angle,Bright sunny day,"A high-angle wide shot of a vibrant suburban playground with colorful swings and slides under a clear blue sky. Tall green trees surround the area, catching the bright morning sun. Modern 3D animated movie environment design with clean textures.",ไม่มีตัวละครหลัก (สนามเด็กเล่นว่างเปล่า),Neighborhood Playground,"An environment concept design of a colorful suburban playground with slides, swing sets, and climbing structures. The ground is a vibrant green grass lawn under a bright sunny sky, surrounded by tall shady trees. Modern 3D animated film aesthetic with smooth plasticine clay textures and soft volumetric lighting, wide view.","A swift camera sweep from right to left, showcasing the sunny playground with leaves blowing gently in the wind."
12,1:18,1:24,6,ไม่ ไม่ ไม่ ขอบคุณครับ / ไม่รับของจากคนแปลกหน้า,"น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad) และ แม่หมี (Mom) ร่วมกันเต้นท่าปฏิเสธน่ารักๆ บนสนามเด็กเล่นอย่างร่าเริง เพื่อเน้นย้ำคาถาป้องกันตัวให้เด็กๆ จำได้แม่นยำ",Medium Shot,Eye-level,Bright sunny day,"A medium shot of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), and แม่หมี (Mom) performing a coordinated, playful dance on the playground. They are smiling and holding their hands out in a 'stop' gesture. The style is a cheerful 3D clay animation under bright daylight.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)",Neighborhood Playground,"An environment concept design of a colorful suburban playground with slides, swing sets, and climbing structures. The ground is a vibrant green grass lawn under a bright sunny sky, surrounded by tall shady trees. Modern 3D animated film aesthetic with smooth plasticine clay textures and soft volumetric lighting, wide view.","The family dances in synchronization, swaying side to side and pushing their hands forward in rhythm to the upbeat music."
13,1:24,1:30,6,หันไปถามคุณพ่อคุณแม่ / ปลอดภัยแน่ๆ สบายใจจัง,พ่อแม่สวมกอดโฮมมี่อย่างมีความสุข โฮมมี่ยิ้มแย้มสดใส ท่าทางสบายใจ รู้สึกมั่นใจและปลอดภัยเมื่อปฏิบัติตามคำสอน,Medium Shot,Eye-level,Bright sunny day,"A medium shot of น้องโฮมมี่ (Homey) standing happily in the center of the playground, looking up with a big smile at พ่อยีราฟ (Dad) and แม่หมี (Mom) who look down at him with approving, loving expressions. Bright daylight, modern 3D animation style.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)",Neighborhood Playground,"An environment concept design of a colorful suburban playground with slides, swing sets, and climbing structures. The ground is a vibrant green grass lawn under a bright sunny sky, surrounded by tall shady trees. Modern 3D animated film aesthetic with smooth plasticine clay textures and soft volumetric lighting, wide view.","A gentle camera tilt and roll, showing the family laughing together and celebrating the lesson learned."
14,1:30,1:36,6,มีคนแปลกหน้า เดินเข้ามาใกล้ / ในมือมีของเล่น สีสันสดใส,เหตุการณ์สมมติใหม่: โฮมมี่นั่งอยู่บนชิงช้าที่สนามเด็กเล่น คนแปลกหน้า (Stranger) สุนัขจิ้งจอกเจ้าเก่าพยายามเดินเข้ามาใกล้ ในมือถืออมยิ้มขนาดยักษ์สีรุ้งล่อตาล่อใจยื่นมาตรงหน้า,Medium Shot,Eye-level,Cheerful daylight,"A medium shot of น้องโฮมมี่ (Homey) sitting on a swing. From the side, คนแปลกหน้า (Stranger), the sly fox in a purple hoodie and sunglasses, walks closer while holding a giant colorful swirl lollipop. Bright daylight, modern 3D claymation style with soft shadows.","น้องโฮมมี่ (Homey), คนแปลกหน้า (Stranger)",Neighborhood Playground,"An environment concept design of a colorful suburban playground with slides, swing sets, and climbing structures. The ground is a vibrant green grass lawn under a bright sunny sky, surrounded by tall shady trees. Modern 3D animated film aesthetic with smooth plasticine clay textures and soft volumetric lighting, wide view.","The fox stranger approaches slowly, holding out the giant lollipop and waving it slightly to get the monkey cub's attention."
15,1:36,1:42,6,ยื่นมาตรงหน้า เอ๊ะ น่าสนุกจัง / แต่เดี๋ยวก่อนนะ โฮมมี่ขอหยุดฟัง,โฮมมี่มองอมยิ้มตาเป็นประกาย เกือบจะยื่นมือออกไปรับ แต่ก็นึกเอะใจในคำสอน รีบดึงมือกลับมาและทำท่าคิดทบทวน,Close-up,Eye-level,Cheerful daylight,"A close-up shot of น้องโฮมมี่ (Homey) on the swing. He is looking at the colorful lollipop with curiosity but pauses, putting a finger to his chin in a thoughtful, cautious pose. Natural outdoor light in a 3D animated style.","น้องโฮมมี่ (Homey), คนแปลกหน้า (Stranger)",Neighborhood Playground,"An environment concept design of a colorful suburban playground with slides, swing sets, and climbing structures. The ground is a vibrant green grass lawn under a bright sunny sky, surrounded by tall shady trees. Modern 3D animated film aesthetic with smooth plasticine clay textures and soft volumetric lighting, wide view.","The camera zooms in on the monkey cub's face as he hesitates, pulls his hand back, and changes his expression to one of careful thought."
16,1:42,1:48,6,นึกถึงคำสอน ของคุณพ่อคุณแม่,ภาพความทรงจำย้อนหลัง (Flashback) โฮมมี่นึกถึงคุณยายเต่า (Granny) ที่คอยนั่งกอดและบอกสอนวิธีรับมือคนแปลกหน้าอย่างใจดีใต้ร่มไม้หน้าบ้าน,Medium Shot,Eye-level,Soft warm light,"A medium shot of a garden park bench. In a warm-toned flashback, คุณยายเต่า (Granny), an elderly turtle grandmother in round glasses and floral headscarf, is talking gently and advising น้องโฮมมี่ (Homey) with a kind smile. Soft, warm light in a 3D animated film style.","น้องโฮมมี่ (Homey), คุณยายเต่า (Granny) (ในความทรงจำ)",Homey's Front Yard,"An environment concept design of a cozy country-style house front yard. It features a neat white wooden fence, green grass lawn, small blooming flower beds, and a charming wooden cottage in the background under soft warm sunlight. Modern 3D animation style with clean claymation textures.","A slow camera slide to the right, showing the grandmother patting the monkey's arm lovingly during the memory."
17,1:48,1:54,6,ถ้าคนที่ไม่รู้จัก เราต้องระวังให้แน่ / เตรียมทำท่าไม้ตาย คาถาป้องกันตัว,โฮมมี่ (Homey) ยืนตัวตรงเท้าสะเอวอย่างกล้าหาญบนสนามหญ้าในสนามเด็กเล่น มีความตั้งใจจริงจัง เตรียมจะปฏิเสธการหลอกล่ออย่างแน่นอน,Medium Shot,Eye-level,Cheerful daylight,"A medium shot of น้องโฮมมี่ (Homey) standing beside the swing set. He has a brave expression and holds his hands on his hips in a heroic posture, ready to face the stranger. Cheerful outdoor daylight, modern 3D clay animation style.",น้องโฮมมี่ (Homey),Neighborhood Playground,"An environment concept design of a colorful suburban playground with slides, swing sets, and climbing structures. The ground is a vibrant green grass lawn under a bright sunny sky, surrounded by tall shady trees. Modern 3D animated film aesthetic with smooth plasticine clay textures and soft volumetric lighting, wide view.","The monkey cub jumps down from the swing, landing firmly on the grass, and strikes a confident pose with his hands on his hips."
18,1:54,2:02,8,ไม่ ไม่ ไม่ ขอบคุณครับ / ไม่รับของจากคนแปลกหน้า,โฮมมี่เอ่ยปากสั่นหัว และปฏิเสธไม่รับอมยิ้มขนาดยักษ์ คนแปลกหน้า (Stranger) หมาป่าจิ้งจอกเดินคอตกถอยหลังหนีไปด้วยความท้อแท้,Medium Close-up,Eye-level,Cheerful daylight,"A medium close-up of น้องโฮมมี่ (Homey) raising a hand to wave 'no' with a polite but firm expression. The fox stranger in the purple hoodie looks disappointed and pulls the giant lollipop back. Clear daylight, clean 3D animation style.","น้องโฮมมี่ (Homey), คนแปลกหน้า (Stranger)",Neighborhood Playground,"An environment concept design of a colorful suburban playground with slides, swing sets, and climbing structures. The ground is a vibrant green grass lawn under a bright sunny sky, surrounded by tall shady trees. Modern 3D animated film aesthetic with smooth plasticine clay textures and soft volumetric lighting, wide view.","น้องโฮมมี่ (Homey) shakes his head and makes a clear stop gesture. The stranger fox steps back, looking defeated."
19,2:02,2:10,8,หันไปถามคุณพ่อคุณแม่ / ปลอดภัยแน่ๆ สบายใจจัง,พ่อยีราฟอุ้มโฮมมี่ขึ้นขี่คอ แม่หมีกางแขนหัวเราะร่าเริงอยู่เคียงข้างอย่างโล่งอกและสุขใจ บรรยากาศยามเย็นเปลี่ยนผ่านเป็นสีทองอบอุ่น,Wide Shot,Eye-level,Golden hour,"A wide shot of the playground during a beautiful golden sunset. พ่อยีราฟ (Dad), the tall giraffe father, has น้องโฮมมี่ (Homey) sitting happily on his shoulders, while แม่หมี (Mom), the brown bear, stands next to them laughing. Soft golden hour light in a 3D animated film style.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)",Neighborhood Playground,"An environment concept design of a colorful suburban playground with slides, swing sets, and climbing structures. The ground is a vibrant green grass lawn under a bright sunny sky, surrounded by tall shady trees. Modern 3D animated film aesthetic with smooth plasticine clay textures and soft volumetric lighting, wide view.","The camera slowly pans up and pulls back, showing the happy family silhouetted against the warm orange sunset sky."
20,2:10,2:16,6,พ่อฮีโร่ตัวสูง ยืนยิ้มแฉ่งรออยู่,ภาพพ่อยีราฟ (Dad) ก้มหัวลงมาส่งรอยยิ้มอุ่นๆ คอยอุ้มดูแลโฮมมี่อย่างปลอดภัยในอ้อมแขน พ่อคือฮีโร่ตัวจริงที่ช่วยปกป้องภัยร้าย,Medium Close-up,Low-angle,Golden hour,"A low-angle medium close-up of พ่อยีราฟ (Dad), the tall giraffe father, smiling kindly down. The warm, golden sunset light creates a gentle glow on his features. The background is a soft-focus residential playground. 3D animated clay style.","พ่อยีราฟ (Dad), น้องโฮมมี่ (Homey)",Neighborhood Playground,"An environment concept design of a colorful suburban playground with slides, swing sets, and climbing structures. The ground is a vibrant green grass lawn under a bright sunny sky, surrounded by tall shady trees. Modern 3D animated film aesthetic with smooth plasticine clay textures and soft volumetric lighting, wide view.","The camera moves slowly backward and down, showing the giraffe father leaning down to gently reassure the monkey cub."
21,2:16,2:22,6,แม่หมีกางแขนกอด แม่คอยเฝ้าดู / ถ้ามีคนแปลกหน้า วิ่งมาหาผู้ใหญ่ / จำไว้นะเด็กๆ ปลอดภัยตลอดไป,แม่หมีกอดประคองโฮมมี่ไว้พลางส่งยิ้มอ่อนโยนให้กล้อง สื่อสารกับผู้ชมเด็กๆ เพื่อย้ำเตือนกฎความปลอดภัยที่ต้องจำให้ขึ้นใจ,Medium Shot,Eye-level,Golden hour,"A medium shot of แม่หมี (Mom), the bear mother, hugging น้องโฮมมี่ (Homey) tightly on the playground. She looks toward the camera with a friendly, advising expression. The scene is bathed in warm golden hour sunset light, with a clean 3D clay animation style.","แม่หมี (Mom), น้องโฮมมี่ (Homey)",Neighborhood Playground,"An environment concept design of a colorful suburban playground with slides, swing sets, and climbing structures. The ground is a vibrant green grass lawn under a bright sunny sky, surrounded by tall shady trees. Modern 3D animated film aesthetic with smooth plasticine clay textures and soft volumetric lighting, wide view.",The camera slides gently to the left as แม่หมี (Mom) points reassuringly towards the viewer to emphasize the lesson.
22,2:22,2:28,6,(ดนตรี Instrumental Break จังหวะสั้นๆ),ภาพทางเดินหมู่บ้าน Suburban Sidewalk ยามโพล้เพล้แสงทไวไลท์สีส้มสวยงาม คลื่นเสียงจังหวะดนตรีเร้าใจเปลี่ยนฉากอย่างลื่นไหล,Wide Shot,Eye-level,Golden hour,A wide shot of a peaceful suburban sidewalk with cozy houses and green fences under an orange and pink sunset sky. The atmosphere is warm and quiet. Modern 3D animated movie landscape design.,ไม่มีตัวละครหลัก (ฉากหมู่บ้านยามเย็น),Suburban Sidewalk,An environment concept design of a clean suburban sidewalk next to a quiet residential street. Lush green hedges and suburban houses are visible in the background under a bright blue sky. Clear daylight in a modern 3D animated film style with clean clay textures.,"A quick cinematic camera pan from left to right across the sidewalk, capturing the warm colors of the sunset."
