ซีนที่ (Scene No),ช่วงเวลา (Time),ความยาว (Duration),คิวเสียง (Lyric Cue),ภาพเหตุการณ์ (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),การจัดแสง (Lighting),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location)
1,0:00 - 0:10,10,[Intro] (เสียงดนตรีบรรเลงกล่องดนตรีชวนฝัน),กล้องลอยผ่านทะเลปุยเมฆสีน้ำเงินอมม่วง เผยให้เห็นม้าหมุนแก้วคริสตัลขนาดใหญ่ที่เปล่งแสงระยิบระยับ ลอยล่องอย่างเงียบสงบอยู่กลางอวกาศสีม่วงพาสเทลและครามเข้ม ดวงดาวจิ๋ว 3 มิติสีทองส่องแสงวิบวับรอบตัวม้าหมุน โฮมมี่และแม่หมีเดินจับมือมองม้าหมุนจากเส้นทางดาราจักร,Wide Shot,"Eye-level, slow tracking forward","Dreamy volumetric lighting, glowing crystal refraction, soft indigo fill light.","`A wide shot of Homey (a small cute monkey character wearing a striped t-shirt and light beige overalls) and Mom (a gentle, fluffy brown bear wearing a white shirt and a cozy pink knit cardigan) standing hand-in-hand on a path of glowing stardust, looking at a giant, magical crystal carousel floating in the deep purple and indigo starry space. The carousel glows with soft pastel colors. Disney Pixar 3D animation style, clay textures, magical glowing light, 16:9 aspect ratio.`","`Very slow-motion camera tracking forward (0.1 units/sec). The giant crystal carousel in the background rotates slowly, casting soft glowing colored light. Homey and Mom stand hand-in-hand, gazing in wonder. Stars twinkle softly. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Starry Galaxy Path
2,0:10 - 0:20,10,0:08 หลับตาลงนะ คนดี / 0:12 ค่ำคืนนี้ มีแสงดาว,แม่หมีอุ้มน้องโฮมมี่ขึ้นไปนั่งบนม้าแก้วคริสตัลตัวเล็กอย่างอ่อนโยน โฮมมี่อมยิ้มและลูบแผงคอคริสตัลเรืองแสงของม้าหมุน ท่ามกลางละอองดาวระยิบระยับที่ลอยรอบตัว,Medium Shot,"Eye-level, slow dolly in","Warm glowing key light from the crystal horse, soft purple background.","`Medium shot of Mom bear gently placing Homey the little monkey onto a small, glowing crystal carousel horse. Homey is smiling warmly, touching the glowing crystal mane. The carousel has soft glowing pastel lights. The background is a dreamy starry galaxy. Disney Pixar 3D animation style, clay rendering, magical glowing light, cozy atmosphere, 16:9 aspect ratio.`","`Slow-motion camera dolly-in. Mom bear carefully helps Homey settle onto the glowing crystal horse, stroking his back. Homey sways gently on the horse, laughing softly. The crystal horse glows with changing soft pastel colors. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Celestial Crystal Carousel
3,0:20 - 0:30,10,0:16 ม้าหมุนน้อย ส่องแสงพราว / 0:20 พาหมุนไปในความฝัน,ม้าหมุนเริ่มหมุนวนช้าๆ อย่างนุ่มนวล แม่หมีนั่งอยู่บนม้าคริสตัลตัวใหญ่ข้างๆ คอยเอื้อมมือมาจับมือโฮมมี่ไว้ โฮมมี่ตื่นตาตื่นใจกับดวงดาวสีทองดวงเล็กๆ ที่ลอยละล่องหมุนวนไปพร้อมกัน,Wide Shot,"Low-angle looking up at the rotating horses, slow panning right","Magical rainbow light trails, warm golden key light on characters.","`Wide shot from a low-angle of Mom bear and Homey the monkey riding adjacent glowing crystal horses on the rotating carousel. They are holding hands, looking at each other with warm smiles. Small 3D golden stars float and spin around them in the air. The background is a dark indigo sky filled with nebulae. Disney Pixar 3D animation style, clay textures, magical light trails, 16:9 aspect ratio.`","`Slow-motion camera panning right as the carousel rotates slowly. Mom and Homey sway up and down on their crystal horses. Glowing star particles leave soft trails in the air. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Celestial Crystal Carousel
4,0:30 - 0:40,10,0:26 หมุนช้าๆ ล่องลอยไป / 0:33 อบอุ่นใจ ใต้แสงจันทร์,ม้าหมุนพาทั้งสองลอยเด่นขึ้นเหนือก้อนเมฆพาสเทล เข้าใกล้ดวงจันทร์ดวงใหญ่สีครีมสว่างไสว โฮมมี่เอื้อมมือไปจับดวงดาวจิ๋วเรืองแสงดวงหนึ่งที่ลอยผ่านเข้ามาใกล้,Medium Wide Shot,"High-angle looking down at the characters on the carousel, slow dolly out","Dreamy volumetric moonlight, soft purple shadows.","`Medium wide shot from a high-angle of Mom bear and Homey the monkey on the glowing carousel, floating closer to a giant, friendly glowing moon in the sky. Homey is sleepily reaching his small hand out to catch a tiny floating star. Disney Pixar 3D animation style, clay rendering, soft volumetric moonlight, dreamy space mood, 16:9 aspect ratio.`","`Slow-motion camera dolly-out. The carousel floats gently in space. Homey's hand slowly reaches out and touches a small floating star, which sparkles warmly. Mom watches him with a loving, protective smile. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Moonlit Orbit
5,0:40 - 0:50,10,0:41 พักผ่อนนะ หลับตาพลัน / 0:48 ตื่นมาพบ วันที่สวยงาม,โฮมมี่เริ่มหาวและเอนตัวซบลงบนตักอันอบอุ่นของแม่หมีบนแท่นม้าหมุน แม่หมีโอบกอดโฮมมี่ไว้และห่มผ้าห่มลายดวงดาวสีทองให้ ดวงดาวรอบๆ กะพริบแสงช้าลงราวกับจะช่วยกล่อม,Medium Close-up,"Eye-level, static","Warm golden light on Mom and Homey, deep blue ambient light.","`Medium close-up shot of Homey the monkey sleeping peacefully, head resting on Mom bear's lap on the carousel platform. Mom is gently wrapping a soft blanket decorated with golden stars around him, hugging him warmly. The background is a soft twilight sky. Disney Pixar 3D animation style, clay textures, warm cozy lighting, 16:9 aspect ratio.`","`Slow-motion static shot. Mom bear gently pats Homey's back as he sleeps. Homey's chest rises and falls with slow, peaceful breathing. The lights on the carousel pulse with a very slow, dimming glow. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Celestial Crystal Carousel
6,0:50 - 1:00,10,0:54 เสียงดนตรี กล่อมเบาๆ / 0:58 ปัดเป่าความเหนื่อยให้หายไป,ตัวโน้ตดนตรี 3 มิติสีพาสเทลเรืองแสงลอยระล่องออกมาจากแกนกลางคริสตัลของม้าหมุน ปลิวไสวไปตามสายลมอวกาศช้าๆ โฮมมี่หลับตาพริ้มอมยิ้มในอ้อมกอดแม่หมีที่โยกตัวเบาๆ ตามดนตรี,Medium Shot,"Eye-level, slow orbital rotation","Soft glowing pastel colors from the musical notes, casting gentle hues on characters.","`Medium shot of Mom bear cradling the sleeping Homey the monkey on the carousel. Glowing, semi-transparent 3D musical notes in pastel colors float around them, drifting slowly. The background is a dreamy space with nebula gas. Disney Pixar 3D animation style, clay textures, glowing volumetric light, 16:9 aspect ratio.`","`Slow-motion camera orbital rotation (15 degrees over 10s). The pastel musical notes float and swirl gently around Mom and Homey. Mom sways her head to the music. Homey sleeps soundly. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Melody Stream
7,1:00 - 1:10,10,1:02 ม้าหมุนใหม่ กล่อมขวัญใจ / 1:06 สู่ดินแดนแสนละมุน,ม้าหมุนค่อยๆ เคลื่อนผ่านกลุ่มแก๊สเนบิวลาสีชมพูและทองที่นุ่มนวลราวกับสำลี โฮมมี่นอนหลับลึกขึ้นในอ้อมกอดแม่หมี โดยมีกลุ่มเนบิวลาช่วยห่อหุ้มม้าหมุนไว้ให้ความรู้สึกปลอดภัย,Wide Shot,"Slight high-angle, slow dolly in","Soft pink and gold ambient light, glowing dust particles.","`Wide shot from a slight high-angle of the crystal carousel floating inside a giant, soft pink and gold nebula cloud. Mom bear is holding the sleeping Homey close to her chest. The entire scene is filled with a soft warm golden haze. Disney Pixar 3D animation style, clay rendering, soft glowing volumetric lighting, 16:9 aspect ratio.`","`Slow-motion camera dolly-in. The pink and gold nebula clouds drift slowly around the carousel, creating a soft glowing mist effect. Mom strokes Homey's head gently. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Cozy Nebula Nest
8,1:10 - 1:20,10,1:12 หมุนช้าๆ ล่องลอยไป / 1:18 อบอุ่นใจ ใต้แสงจันทร์,ม้าหมุนโคจรผ่านด้านหน้าดวงจันทร์ดวงใหญ่ ทำให้เกิดแสงเงา (Silhouette) สีน้ำเงินเข้มและขอบสีทองเรืองรองฉายลงบนพื้นผิวปุยเมฆเบื้องล่าง แม่หมีเงยหน้าขึ้นมองแสงจันทร์ด้วยความสงบ,Super Wide Shot,"Eye-level, slow tracking left","Strong backlight from the giant moon, golden rim light on characters and carousel.","`Super wide shot of the crystal carousel floating directly in front of a giant, glowing golden moon. Mom bear and sleeping Homey are silhouetted with beautiful golden rim lighting outlining their shapes. The background is a deep blue night sky. Disney Pixar 3D animation style, clay render, silhouette lighting, 16:9 aspect ratio.`","`Slow-motion camera tracking left. The carousel slowly passes across the face of the giant moon. The golden rim lighting shimmers on the crystal horses. Mom sways Homey gently. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Moonlit Orbit
9,1:20 - 1:30,10,1:26 พักผ่อนนะ หลับตาพลัน / 1:33 ตื่นมาพบ วันที่สวยงาม,ดวงดาวระยิบระยับเริ่มโปรยละอองดาวเรืองแสงสีพาสเทลลงมาอย่างช้าๆ ราวกับหิมะอุ่นๆ แม่หมีกระชับอ้อมกอดโฮมมี่ ยิ้มและกระซิบอวยพรในคืนอันแสนสุข,Close-up,"Slight low-angle looking at Mom and Homey, static","Warm key light, glowing star dust particles casting small highlights.","`Close-up shot of Mom bear's warm face looking down lovingly at the sleeping Homey the monkey on her lap. Glowing pastel stardust particles fall gently around them like soft snow. The lighting is warm and glowing. Disney Pixar 3D animation style, clay textures, emotional cozy atmosphere, 16:9 aspect ratio.`","`Slow-motion static close-up. Stardust particles float and drift downwards slowly. Mom bear gently presses her cheek against Homey's forehead. Homey has a peaceful smile on his sleeping face. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Celestial Crystal Carousel
10,1:30 - 1:40,10,[Transition to Loop] / ดนตรีบรรเลงส่งท้าย,กล้องค่อยๆ ถอยห่างออกมาเป็นมุมกว้าง เผยให้เห็นภาพม้าหมุนคริสตัลลอยอยู่ท่ามกลางหมู่ดาวดวงเดิม และกลุ่มเมฆเคลื่อนตัวกลับเข้าสู่ตำแหน่งเริ่มต้นเพื่อสร้างการลูปอย่างราบรื่น,Super Wide Shot,"Eye-level, slow dolly out","Dreamy sunset-twilight gradient (pink, gold, deep purple), glowing stars and moon.","`Super wide shot of the glowing crystal carousel rotating slowly in the center of a magical deep space, surrounded by twinkling gold stars and colorful nebulae. Mom bear and sleeping Homey are seen on the platform. Disney Pixar 3D animation style, clay textures, soft volumetric light, highly detailed, 16:9 aspect ratio.`","`Slow-motion camera dolly out. The carousel shrinks slowly in the frame as it floats away. The stars and clouds drift back to their initial positions in Scene 1, creating a perfect seamless transition. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Starry Galaxy Path
