ซีนที่ (Scene No),ช่วงเวลา (Time),ความยาว (Duration),คิวเสียง (Lyric Cue),ภาพเหตุการณ์ (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),การจัดแสง (Lighting),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location)
1,0:00 - 0:04,4,เขียวๆ เขียวๆ ผักใบเขียว กรุบกรอบ,น้องโฮมมี่ (Homey) นั่งอยู่หน้าจานสลัดผักใบเขียวใบโตในห้องครัว Sunny Cozy Kitchen ผักใบเขียวขยับตาโตและส่งยิ้มให้โฮมมี่,Medium Close-up,"Eye-level, slightly angled to Homey's right.","Warm golden sunlight streaming through a large window, creating soft shadows and volumetric light rays; focused rim lighting on Homey's hair, subsurface scattering on the green lettuce.","`Medium Close-up shot of Homey, a cute little monkey character Homey with soft light brown fur, wearing a cream and green striped shirt with beige linen overalls, sitting happily at a clean wooden dining table in the Sunny Cozy Kitchen. He looks with big, friendly eyes at a vibrant green salad bowl. A living green lettuce character with expressive big Pixar-style eyes smiles warmly back from the bowl. Warm golden sunlight streams through a large window, casting soft volumetric light and shadows. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on vegetables, highly detailed, 16:9 aspect ratio.`","Slow camera push in (dolly in) towards Homey's face at a rate of 0.5 units/second. The living green lettuce character gently wiggles its leaves and blinks happily with subtle eye movement. Homey shows a subtle, excited smile developing on his face. No text, no subtitles, no words, clean video output.",Homey,Sunny Cozy Kitchen
2,0:04 - 0:08,4,สีแดง สีส้ม หม่ำๆๆๆ อั้ม มีพลัง,น้องทอมมี่ (Tommy) มะเขือเทศน้อยกลมแดง และสวีทตี้ (Sweetie) พริกหวานสีส้มเด้งดุ๊กดิ๊กเต้นบนจาน โฮมมี่ทำตาประกายยิ้มกว้าง,Close-up,"Slight low-angle, emphasizing the vegetables' energetic dance.","Bright, cheerful soft studio lighting with gentle highlights on the characters' shiny surfaces, subtle volumetric dust motes in the background.","`Close-up shot of Tommy, a cute, round, vibrant red tomato character with glowing pink cheeks and bright blue eyes, alongside Sweetie, a cute, sleek orange bell pepper character wearing tiny grey aviator goggles on its head. Both characters are dancing energetically and happily on a polished white plate. The background features a soft, blurred Sunny Cozy Kitchen setting with pastel cabinets. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering, highly detailed, 16:9 aspect ratio.`","Camera pans slightly left to right (0.2 units/second) as Tommy and Sweetie jump and bounce synchronously with the upbeat rhythm. The characters exhibit subtle jiggle physics in their bodies and accessories, with Sweetie's goggles lightly shifting. Homey's eyes briefly sparkle in the background, a wide smile forming. No text, no subtitles, no words, clean video output.","Homey, Tommy, Sweetie",Sunny Cozy Kitchen
3,0:08 - 0:12,4,[ดนตรีบรรเลงสั้น],โฮมมี่โยกหัวตามจังหวะเพลง แก๊งผักเต้นหมุนรอบโต๊ะไม้อย่างครื้นเครง แสงแดดสีทองสาดส่องอบอุ่นทั่วครัว,Wide Shot,"Eye-level, dynamically tracking.","Strong golden sunbeams piercing through the window, creating high-contrast lighting with volumetric rays and numerous glittering dust motes in the air, cinematic warm tones.","`Wide shot of the Sunny Cozy Kitchen. Homey, with a joyful expression, is swaying his head to the music and clapping his hands, surrounded by a lively group of tiny dancing vegetable characters including Brocc, Tommy, and Sweetie, all on a polished wooden dining table. Strong golden sunbeams with visible volumetric light dust motes illuminate the scene, creating a warm, vibrant atmosphere. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Vibrant camera tracking shot smoothly sliding around the wooden table (360-degree orbital motion, 4 seconds per rotation) at eye level, capturing the vegetables spinning and dancing with playful motion blur. Homey sways his head rhythmically and claps, with subtle cloth physics on his overalls. No text, no subtitles, no words, clean video output.","Homey, Brocc, Tommy, Sweetie",Sunny Cozy Kitchen
4,0:12 - 0:15,3,จานนี้มีผักสีเขียวสดใส,โฮมมี่ชี้นิ้วไปที่ผักสลัดสีเขียวสดใสในจานที่เปล่งแสงออร่าสีเขียวมรกตเรืองแสงนวลตา,Close-up,"Eye-level, focused on the bowl.","The green salad emits an iridescent emerald light aura, creating strong rim lighting on Homey's hand and a soft glow on his cheek. Volumetric light particles float around the bowl.","`Close-up shot of Homey's hand, with soft, chubby fingers, pointing directly at a bowl filled with crisp, shiny green vegetables. The salad radiates a magical, glowing emerald light aura, with visible light particles floating upwards. Soft warm rim lighting outlines Homey's happy face, reflecting the glow. Sunny Cozy Kitchen in soft focus background. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Slow camera zoom in (0.3x zoom factor over 3 seconds) on the glowing green salad. Magical emerald particles with subtle glitter effects gently float up from the bowl, creating a shimmering, ethereal ambiance. No text, no subtitles, no words, clean video output.",Homey,Sunny Cozy Kitchen
5,0:15 - 0:19,4,บรอกโคลีต้นใหญ่เหมือนต้นไม้เลยนี่หน่า,โฮมมี่ยื่นหน้าเข้าไปดูพี่บรอก (Brocc) บรอกโคลีต้นโตแผ่กิ่งคล้ายต้นไม้ใหญ่สไตล์แฟนตาซีพิกซาร์,Medium Close-up,"Slight low-angle on Brocc, eye-level on Homey.","Soft, diffused natural kitchen light, emphasizing the textures of Brocc with subsurface scattering, gentle highlights on Homey's curious face.","`Medium Close-up shot of Homey, with an expression of wide-eyed amazement, leaning in to observe Brocc. Brocc is a living broccoli character, completely green with fluffy dark green florets on top and a smooth vibrant green stem for its body, smiling gently with its Pixar-style eyes. The setting is the Sunny Cozy Kitchen. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on Brocc, highly detailed, 16:9 aspect ratio.`","Camera tilts smoothly down (tilt rate 0.5 degrees/second) from Brocc's smiling leafy top to Homey's excited, wide-open eyes. Brocc exhibits gentle swaying movements, as if a gentle breeze is passing, and blinks once warmly. No text, no subtitles, no words, clean video output.","Homey, Brocc",Sunny Cozy Kitchen
6,0:19 - 0:25,6,หยิบเข้าปากกรุ๊บๆ หวานกรอบหนักหนา,โฮมมี่หยิบพี่บรอกเข้าปากเคี้ยวดังกรุ๊บๆ มีแสงดวงดาวสีเขียวแวววาวกระจายออกจากปาก แก้มตุ้ยยิ้มแย้มเคี้ยวสนุก,Medium Shot (focusing on face),"Eye-level, slightly off-center for dynamic composition.","Cinematic warm fill light, with sparkling green magical stars emitting their own light. Subtle subsurface scattering on Homey's cheeks and a soft glow on his hair.","`Medium shot of Homey, a cute little monkey character Homey, joyfully chewing with visibly puffed cheeks, a wide, delighted smile on his face. Sparkling green magical stars emit with a radiant glow from his mouth as he eats green broccoli. The background is a softly blurred Sunny Cozy Kitchen. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Smooth close-up tracking shot on Homey's face as he performs exaggerated, joyful chewing actions. Magical sparkles burst outwards with dreamy glowing trails and subtle lens flares, originating from his mouth. His cheeks puff in and out realistically with each chew. No text, no subtitles, no words, clean video output.",Homey,Sunny Cozy Kitchen
7,0:25 - 0:28,3,โอ้โห พลังมา,ตัวของโฮมมี่เกิดออร่าสีเขียวเรืองแสงสว่างวาบ เบ่งออมพลังพลังงานพัดใบผมปลิวไสว,Action Shot (Medium Shot),"Dynamic low-angle, emphasizing power.","Intense glowing green energy aura radiating with volumetric light rays, creating strong rim lighting on Homey and dynamic shadows across the kitchen.","`Action shot of Homey, posing in a cute heroic stance, surrounded by a vibrant, pulsating green aura of raw energy. His fluffy brown hair is dramatically blowing upwards due to the energy, and his big eyes shine brightly with newfound power. The Sunny Cozy Kitchen environment is in the background, slightly distorted by the energy. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Fast camera push in (dolly in at 1.5 units/second), coinciding with the green energy aura sweeping rapidly across the room like a gentle shockwave, distorting the air. Homey's hair and clothes are simulated with dynamic physics, fluttering dramatically upwards as the aura expands. No text, no subtitles, no words, clean video output.",Homey,Sunny Cozy Kitchen
8,0:28 - 0:32,4,กระโดดดึ๋งๆๆ ขึ้นไปบนฟ้า,โฮมมี่ถีบตัวกระโดดเด้งดึ๋ง ทะลุหน้าต่างกระจกหลังคาลอยขึ้นไปบนท้องฟ้าพาสเทลสีสวยงาม Dreamy Pastel Sky,Dynamic Wide Shot,Vertical tracking upward.,"Soft, ethereal pastel lighting in the sky, with iridescent glow from the green star sparkles. Volumetric haze and subtle lens flares from the ascending Homey.","`Dynamic wide shot of Homey, mid-jump, powerfully soaring high into the beautiful Dreamy Pastel Sky, leaving a sparkling trail of green stars behind him. Fluffy clouds shaped like pink and purple cotton candy surround him, creating a whimsical and magical atmosphere. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Fast vertical camera pan upward (pan rate 15 degrees/second) tracking Homey's rapid ascent into the sky, smoothly transitioning to a slow-motion float as he reaches the clouds. The green sparkle trail follows with a subtle motion blur effect. No text, no subtitles, no words, clean video output.",Homey,Dreamy Pastel Sky
9,0:32 - 0:37,5,เขียวๆ เขียวๆ ผักใบเขียว กรุบกรอบ,โฮมมี่เด้งข้ามปุยเมฆที่มีลักษณะคล้ายใบผักสลัดสีเขียวขนาดใหญ่กลางอากาศอย่างร่าเริงกลางอากาศพาสเทล,Medium-Wide Shot,"Eye-level, following Homey.","Soft, diffused pastel lighting from the Dreamy Pastel Sky, emphasizing the lush texture of the cloud-leaves with subsurface scattering and a gentle, dreamy glow.","`Medium-wide shot of Homey, laughing joyfully, playing and bouncing on giant green clouds that are clearly shaped like oversized lettuce leaves, high in the Dreamy Pastel Sky. The atmosphere is soft and filled with beautiful pink and purple pastel hues. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on clouds, highly detailed, 16:9 aspect ratio.`","Slow-motion camera tracking (dolly tracking at 0.3 units/second) Homey as he gracefully leaps from one giant green cloud to another, exhibiting playful laughter and a sense of weightlessness. The cloud-leaves show gentle bounce physics upon his landing, with subtle dust-like particles emanating. No text, no subtitles, no words, clean video output.",Homey,Dreamy Pastel Sky
10,0:37 - 0:45,8,สีแดง สีส้ม หม่ำๆๆๆ อั้ม มีพลัง,น้องทอมมี่ และสวีทตี้ ลอยตัวบินหมุนไปรอบๆ โฮมมี่งับกินดวงแสงพลังงานผัก มีออร่าสีแดงและส้มแผ่ซ่านทั่วฟ้า,Action Shot (Medium Shot),Dynamic 360-degree orbital perspective.,"Vibrant glowing red and orange energy spheres emitting intense light, creating dynamic light ripples and volumetric effects through the cotton candy clouds. Radiant glow on Homey's face.","`Action shot of Homey floating effortlessly in the Dreamy Pastel Sky, with a determined yet joyful expression, actively catching and eating glowing red and orange energy spheres. Tommy the cute red tomato and Sweetie the orange bell pepper character are playfully flying and orbiting around him, generating these energy spheres. Beautiful shockwaves of red and orange light ripple ethereally through the surrounding cotton candy clouds. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Orbiting 360-degree camera movement around Homey (rate 45 degrees/second), capturing the dynamic scene as beautiful shockwaves of red and orange light ripple through the clouds with subtle distortion effects. Homey performs quick, satisfying bite animations on the energy spheres, while Tommy and Sweetie perform agile flying maneuvers. No text, no subtitles, no words, clean video output.","Homey, Tommy, Sweetie",Dreamy Pastel Sky
