ซีนที่ (Scene No),ช่วงเวลา (Time),ความยาว (Duration),คิวเสียง (Lyric Cue),ภาพเหตุการณ์ (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),การจัดแสง (Lighting),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location)
1,0:00 - 0:10,10,[Intro] (เสียงดนตรีบรรเลงนำแสนนุ่มนวลชวนฝัน),แม่หมี (Mom) จูงมือน้องโฮมมี่ (Homey) เดินก้าวเข้าสู่ทุ่งหญ้าแฟนตาซีที่ปกคลุมด้วยหิมะคริสตัลระยิบระยับ ท้องฟ้าด้านหลังแสดงดาราจักรทางช้างเผือกสว่างไสว เปลโยกเยสีทองห้อยแขวนประดับด้วยก้อนเมฆและลูกแก้วหิมะสลัวๆ,Wide Shot,"Eye-level, slow tracking left","Dreamy soft pastel purple-blue background, warm gold rim lighting from the Milky Way.","`A wide shot of Homey (a small cute monkey character wearing a striped t-shirt and light beige overalls) and Mom (a gentle, fluffy brown bear wearing a white shirt and a cozy pink knit cardigan) walking hand-in-hand onto a magical meadow covered in glittering crystal snow. In the background, a giant glowing golden tree sways under a starry night sky with the Milky Way visible. Disney Pixar 3D animation style, clay textures, soft dreamy volumetric lighting, 16:9 aspect ratio.`","`Very slow-motion camera tracking left (0.1 units/sec). Mom and Homey take slow, warm steps on the sparkling snow. Tiny crystal snow particles drift in the air. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Starry Snow Meadow
2,0:10 - 0:20,10,0:13 ลูกแก้วใส / 0:15 ไปกลมกลม / 0:17 พร่างพรม / 0:19 หิมะขาว,ทั้งสองเดินเข้ามาใกล้ต้นไม้โบราณที่ส่องแสงสีพาสเทล บนกิ่งก้านมีลูกแก้วใสกลมๆ ขนาดใหญ่ห้อยย้อยลงมา ภายในลูกแก้วมีหิมะสีขาวและแสงดาวหมุนวนส่องสว่างพร่างพรมชวนฝัน,Medium Wide Shot,"Slight low-angle, slow dolly in","Pastel gold and cyan glow radiating from the hanging snowglobes, soft snow particles reflecting light.","`Medium wide shot from a slight low-angle of Mom bear and Homey the monkey looking up in wonder at a large glowing tree. Several giant glass snowglobes hang from the branches, swirling with white snow and star dust inside. Disney Pixar 3D animation style, clay rendering, magical glowing snowglobes, soft twilight lighting, 16:9 aspect ratio.`","`Slow-motion camera dolly-in. The white snow and stardust inside the hanging glass snowglobes swirl gently in circles. Mom puts her arm around Homey's shoulders. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Snowglobe Luminous Tree
3,0:20 - 0:30,10,0:20 เรืองหล่นมา / 0:22 ดั่งแสงดาว / 0:24 ทอแสงพราว / 0:26 ในคืนนี้,หิมะเรืองแสงกะพริบตาเป็นดั่งแสงดาวตกลงมาจากสรวงสวรรค์ ทอแสงประกายระยับเต็มผืนป่า แม่หมีอุ้มโฮมมี่ขึ้นไปนั่งนอนในเปลชิงช้าโยกเยนุ่มนุ่มขลิบทองเรืองแสง,Medium Shot,"Eye-level, stationary","Colorful sparkling light rays from stardust snowfall, soft backlight on characters.","`Medium shot of Homey the monkey sitting on a soft cloud-like cushion inside a golden cradle swing hanging from the glowing tree. Mom bear is standing next to the swing. Shimmering star-shaped snow falls gently from the sky. Disney Pixar 3D animation style, clay textures, magical sparkling lights, cozy nighttime mood, 16:9 aspect ratio.`","`Slow-motion stationary shot. The golden cradle swing sways gently back and forth. Star-shaped snow drifts down slowly across the screen, shining with yellow-pink light. Homey smiles sleepily. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Snowy Cradle Swing
4,0:30 - 0:40,10,0:28 โปรยปราย / 0:30 ช้าช้า / 0:32 ล่องลอย / 0:35 เฝ้าคอย / 0:38 กล่อมหลับตา,หิมะโปรยปรายช้าช้า ลอยล่องเหนือกิ่งไม้ แม่หมีไกวเปลชิงช้าด้วยจังหวะคงที่อบอุ่น โฮมมี่ตาเริ่มปรือสะลึมสะลือ เคลิ้มหลับพริ้มใบหน้าผ่อนคลาย,Wide Shot,"High-angle looking down, slow panning right","Soft warm key light from the cradle canopy, blue-gray ambient shadows.","`Wide shot from a high-angle of Mom bear gently pushing the cloud cradle swing on the snowy ground. A quiet stream of stardust snow floats slowly in the background. Disney Pixar 3D animation style, clay rendering, double reflection on crystal snow, 16:9 aspect ratio.`","`Slow-motion camera panning right. The cradle swing sways rhythmically. The stardust snow falls at a very slow speed, creating trails. Homey sleepily closes his eyes fully. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Snowy Cradle Swing
5,0:40 - 0:50,10,0:41 ซุกตัวอุ่น / 0:44 ในผ้าห่มหนา / 0:49 สู่นิทรา / 0:51 แสนสบาย,แม่หมีห่มผ้าห่มนิ่มหนาสีชมพูลายเกล็ดหิมะสีขาวทับตัวโฮมมี่ โฮมมี่ซุกตัวหลับปุ๋ยอยู่ในผ้าห่มอุ่นสบาย ทิ้งความหนาวเหน็บไว้ด้านนอก เข้าสู่นิทราในคืนเงียบสงัด,Medium Close-up,"Eye-level, slow tracking left","Soft warm orange key light, comforting fireplace-like glow.","`Medium close-up shot of Homey the monkey sleeping peacefully inside the swing, snuggled under a thick, cozy pink blanket with white snowflake pattern. Mom bear leans over, gently tucking him in with a warm maternal gaze. Disney Pixar 3D animation style, clay textures, warm cozy lighting, 16:9 aspect ratio.`","`Slow-motion camera tracking left. Mom's hand slowly pats the blanket. Warm light pulses gently on Homey's face. The soft fabric of the blanket rises and falls with his breathing. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Snowy Cradle Swing
6,0:50 - 1:00,10,0:55 เสียงดนตรี / 0:57 บรรเลงกล่อม / 1:00 รายล้อมด้วยความรัก,หิ่งห้อยน้ำแข็งสีฟ้า-เขียวเรืองแสง ลอยมารวมตัวกันเป็นละอองระยิบระยับเป็นระลอกคลื่น คล้ายเสียงดนตรีบรรเลงกล่อม แม่หมีนั่งลงบนขอนไม้กลมเคียงข้างเฝ้าดูด้วยรักและใจดี,Wide Shot,"Slight low-angle, slow pan up","Magical glowing cyan and green lights, volumetric beams in the night forest.","`Wide shot of a swarm of ice fireflies glowing in pastel blue and green, floating around the sleeping Homey's swing in the snowy meadow. Mom bear sits on a nearby mossy log, watching them. Disney Pixar 3D animation style, clay rendering, magical glowing fireflies, 16:9 aspect ratio.`","`Slow-motion camera pan up. The ice fireflies dance and pulse in slow waves. The glowing tree branches in the background sway gently. Cradle sways very slightly. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Starry Snow Meadow
7,1:00 - 1:10,10,1:03 ถึงเวลา / 1:05 ที่ต้องพัก / 1:07 เอนกายซบ / 1:08 หลับฝันดี,แม่หมีจับเกล็ดหิมะดาวตกเรืองแสงเป่าเบาๆ ส่งฝันดีไปให้โฮมมี่ โฮมมี่นอนเอนกายขยับแขนขากลางเปลนุ่มนิ่มอย่างสบายใจหลับฝันดีตลอดคืน,Medium Shot,"Eye-level, slow orbital rotation","Volumetric gold light beam, soft highlights on Mom's sweater.","`Medium shot of Mom bear smiling gently as she blows a glowing star-shaped snowflake toward the sleeping Homey. The cradle is softly lit by warm gold light. Disney Pixar 3D animation style, clay textures, magical stardust details, 16:9 aspect ratio.`","`Slow-motion camera orbital rotation (20 degrees over 10s). The glowing snowflake drifts slowly toward Homey's cradle and vanishes with a small puff of light. Mom nods softly. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Snowy Cradle Swing
8,1:10 - 1:20,10,1:10 โปรยปราย / 1:12 ช้าช้า / 1:14 ล่องลอย / 1:17 เฝ้าคอย / 1:19 กล่อมหลับตา,แสงออโรร่าสีเขียวพาสเทลและชมพูสว่างไสวแผ่คลุมฟ้าไกล หิมะตกลงมาสร้างแนวเส้นแสงเป็นลูปสวยงาม แม่หมียืนประคองเปลชิงช้าที่แกว่งไกวช้าๆ รอยยิ้มอุ่นต้อนรับนิทรา,Wide Shot,"Low-angle looking up, slow tracking right","Vibrant pastel aurora lighting, soft snowglow reflections on the ground.","`Wide shot from a low-angle of the golden swing under a sky filled with a gentle pink and green aurora. Mom bear stands by the swing, looking at the sleeping Homey. Disney Pixar 3D animation style, clay rendering, wide auroral sky view, 16:9 aspect ratio.`","`Slow-motion camera tracking right. The aurora waves slowly morph in the sky. Shimmering snowflakes drift across the frame. Mom gently nudges the cradle ropes. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Starry Snow Meadow
9,1:20 - 1:30,10,1:23 ซุกตัวอุ่น / 1:26 ในผ้าห่มหนา / 1:31 สู่นิทรา / 1:33 แสนสบาย,แม่หมีกุมมือของโฮมมี่ที่ซุกอยู่ใต้ผ้าห่มขนหิมะหนานุ่ม มอบความปลอดภัยและความอบอุ่นในทุ่งหิมะอันแสนบริสุทธิ์,Close-up,"Low-angle focusing on their hands, static","Warm golden key light, soft pink snowglow background.","`Close-up shot of Mom bear's fluffy brown hand gently holding the sleeping Homey's tiny monkey hand on top of the snowflake-patterned pink blanket. A tiny glowing star sits on their hands. Disney Pixar 3D animation style, clay textures, high detail, emotional maternal connection, 16:9 aspect ratio.`","`Slow-motion static close-up. Mom's hand squeezes Homey's hand with warm care. The tiny star on their hand pulses with a soft gold light. Peaceful rise and fall of the blanket. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Snowy Cradle Swing
10,1:30 - 1:40,10,[Transition to Loop] / ดนตรีเปียโนเบาๆ ค่อยๆ จางลง,กล้องดอลลี่ถอยออกจากเปลชิงช้า ทะยานขึ้นสู่เรือนยอดยอดต้นไม้ลูกแก้วเรืองแสงกลางทุ่งหญ้าหิมะคริสตัล ท้องฟ้าดนตรีดาวและหิมะลอยลอยกลับตำแหน่งเดิมเพื่อสร้างการลูปอย่างราบรื่น,Super Wide Shot,"Eye-level, slow dolly out","Magical deep indigo and pastel gold lighting, volumetric glowing rays from the giant tree.","`Super wide shot of the giant glowing tree in the middle of a sparkling snowy meadow under the aurora sky. The cradle swing sways under the tree branches. Mom bear and sleeping Homey are small figures. Disney Pixar 3D animation style, clay textures, soft volumetric light, highly detailed, 16:9 aspect ratio.`","`Slow-motion camera dolly out. The giant tree shrinks in the frame. The stardust snow and aurora waves slowly drift back to their initial positions of Scene 1, making a perfect seamless transition. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Snowglobe Luminous Tree
