ซีนที่ (Scene No),ช่วงเวลา (Time),ความยาว (Duration),คิวเสียง (Lyric Cue),ภาพเหตุการณ์ (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),การจัดแสง (Lighting),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location)
1,0:00 - 0:10,10,[Intro] (ดนตรีนำด้วยเปียโนเบาๆ),แม่หมี (Mom) จูงมือน้องโฮมมี่ (Homey) เดินเล่นบนก้อนเมฆสีชมพูพาสเทลหนานุ่มช้าๆ ท่ามกลางทะเลหมอกที่ส่องแสงเรืองรองดั่งความฝัน ท้องฟ้าเบื้องหลังเต็มไปด้วยดวงดาวระยิบระยับสีทอง,Wide Shot,"Eye-level, slow tracking right","Dreamy volumetric lighting, soft warm pink and gold glow.","`A wide shot of Homey (a small cute monkey character wearing a striped t-shirt and light beige overalls) and Mom (a gentle, fluffy brown bear wearing a white shirt and a cozy pink knit cardigan) walking hand-in-hand on soft, thick pastel pink clouds. The background is a dreamy night sky filled with glowing golden stars and floating soft pastel clouds. Disney Pixar 3D animation style, clay textures, soft dreamy volumetric lighting, 16:9 aspect ratio.`","`Very slow-motion camera tracking right (0.1 units/sec). Mom and Homey walk hand-in-hand, taking slow, gentle steps on the fluffy clouds. The golden stars in the background twinkle softly, and mist gently curls around their feet. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Pastel Dream Cloudland
2,0:10 - 0:20,10,0:13 มองขึ้นไปบนฟ้าไกล / 0:16 มีดวงดาวระยิบระยับ,โฮมมี่ชี้มือขึ้นไปบนท้องฟ้าด้วยความตื่นเต้นปนง่วงนอน แม่หมีโอบไหล่โฮมมี่และชี้ตาม มองดูดวงดาวดวงน้อยที่ค่อยๆ ลอยลงมาทักทายใกล้ๆ และกะพริบตาเป็นจังหวะช้าๆ,Medium Shot,"Slight low-angle, slow dolly in","Soft glowing key light from the nearby star, warm lavender fill light.","`Medium shot of Mom bear gently putting her arm around Homey the little monkey as they both look up, pointing at a small, friendly glowing 3D star floating close to them. The background is a dreamy lavender sky with soft fluffy cloud peaks and distant twinkling stars. Disney Pixar 3D animation style, clay rendering, soft glowing light, warm cozy atmosphere, 16:9 aspect ratio.`","`Slow-motion camera dolly-in. Homey raises his finger slowly, pointing at the friendly star which pulses with a warm, gentle light. Mom smiles warmly, stroking Homey's head. The background clouds drift slowly. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Starry Cloud Peak
3,0:20 - 0:30,10,0:20 ส่องแสงนวล คอยต้อนรับ / 0:23 กล่อมคนเก่งให้เข้านอน / 0:26 หนูน้อยนอนห่มผ้าบนเตียง,แม่หมีอุ้มโฮมมี่นอนลงบนเตียงก้อนเมฆที่หนานุ่มราวกับที่นอนขนเป็ด แม่หมีหยิบผ้าห่มปุยเมฆสีขาวนวลมาห่มให้โฮมมี่อย่างเบามือ,Medium Wide Shot,"High-angle looking down at the cloud bed, stationary","Warm yellow light from a glowing moon lantern, soft ambient blue.","`Medium wide shot from a high-angle of Homey the cute little monkey lying down comfortably on a soft bed made of fluffy white clouds. Mom bear is gently pulling a warm, soft white cloud blanket over him. The scene is illuminated by a cozy warm yellow moon-shaped lantern. Disney Pixar 3D animation style, clay textures, soft shadows, warm cozy lighting, 16:9 aspect ratio.`","`Slow-motion stationary shot. Mom bear slowly pulls the cloud blanket up to Homey's chest and pats it gently. Homey's eyelids flutter sleepily as he smiles. The edges of the cloud bed sway slightly. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Cloud Cradle
4,0:30 - 0:40,10,0:30 อุ่นใจไร้กังวล / 0:33 มืออุ่นคอยลูบหัวเบาๆ / 0:37 ไม่ต้องกลัวสิ่งใด,กล้องโคลสอัพใบหน้าโฮมมี่ที่นอนอมยิ้มตาปรือ มือที่อ่อนโยนของแม่หมีคอยลูบหัวโฮมมี่เบาๆ เพื่อกล่อมให้นอนหลับอย่างอุ่นใจและปลอดภัย,Close-up,"Eye-level, static","Soft warm key light on Homey's face, gentle volumetric light rays from stars.","`Close-up shot of Homey the monkey lying sleepily on a cloud pillow, his eyes half-closed with a peaceful smile. Mom's large, gentle furry hand is softly resting on and caressing his forehead. The lighting is extremely soft, with warm golden rays highlighting his face. Disney Pixar 3D animation style, clay render, cozy comforting mood, 16:9 aspect ratio.`","`Slow-motion static close-up. Mom's hand slowly and gently strokes Homey's head in a repetitive, calming motion. Homey blinks slowly, his eyes slowly closing and opening. Peaceful breathing motion. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Cloud Cradle
5,0:40 - 0:50,10,0:41 หลับตาลงนะ คนดี / 0:45 คืนนี้มีดวงดาว,โฮมมี่หลับตาพริ้มลงอย่างมีความสุข แม่หมีก้มลงหอมแก้มโฮมมี่เบาๆ ท่ามกลางดวงดาวระยิบระยับรอบตัวที่เปล่งแสงนวลต้อนรับความฝัน,Medium Close-up,"Eye-level, slow tilt down",Warm golden light and soft purple twilight shadows.,"`Medium close-up shot of Mom bear kissing Homey the sleeping monkey on his cheek. Homey's eyes are fully closed, sleeping peacefully. The background has glowing golden stars floating gently in the air, creating a magical atmosphere. Disney Pixar 3D animation style, clay textures, soft studio lighting, warm romantic look, 16:9 aspect ratio.`","`Slow-motion camera tilt down. Mom bear leans down slowly and kisses Homey's cheek, then pulls back with a gentle smile. Floating stars in the background bob up and down very slowly. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Cloud Cradle
6,0:50 - 1:00,10,0:48 พระจันทร์ยิ้มแฉ่ง / 0:52 ลอยบนฟ้า / 0:55 คอยดูแล,กล้องแพนขึ้นเผยให้เห็นพระจันทร์ดวงใหญ่สีเหลืองนวลที่มีดวงตาและรอยยิ้มอันอ่อนโยน (พระจันทร์ยิ้มแฉ่ง) ลอยเด่นอยู่เหนือเตียงเมฆ แม่หมีนั่งเฝ้าดูอยู่ข้างเตียงอย่างอบอุ่น,Wide Shot,"Low-angle looking up slightly, slow pan up",Dreamy moonlight casting soft blue and yellow hues.,"`Wide shot of a giant, friendly 3D cartoon moon with a warm, gentle smile and closed eyes, glowing with a soft yellow light in the starry night sky. Below the moon, Mom bear sits on a cloud stool next to the sleeping Homey in his cloud bed. Disney Pixar 3D animation style, clay rendering, soft dreamy volumetric moonlight, magical night vibe, 16:9 aspect ratio.`","`Slow-motion camera pan up from the sleeping Homey and Mom to the giant smiling moon. The moon gently sways and shines, emitting soft, warm light waves. Stars around it pulse slowly. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Moonlit Haven
7,1:00 - 1:10,10,0:59 หนูทุกเวลา / 1:02 ฝันดีนะ เด็กดี,ในฝันของโฮมมี่ ดวงดาวจิ๋วและพระจันทร์ยิ้มแฉ่งดวงเล็กลอยลงมาเต้นรำรอบเตียงเมฆ แม่หมียิ้มและทำท่าดีใจเบาๆ มองดูการเต้นรำแสนน่ารักในจินตนาการ,Wide Shot,"Eye-level, slow orbital rotation","Magical multi-colored pastel lights (pink, purple, yellow) reflecting on the clouds.","`Wide shot of Mom bear watching in delight as small, cute glowing cartoon stars and a mini smiling moon dance in a slow, graceful circle around the sleeping Homey's bed. The setting is on a vast field of soft purple and pink clouds. Disney Pixar 3D animation style, clay textures, magical colorful lights, fairytale mood, 16:9 aspect ratio.`","`Slow-motion camera orbital rotation (20 degrees over 10s). The small stars and mini moon drift and spin slowly around the bed, leaving soft glowing light trails. Mom bear sways gently to the imaginary rhythm. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Dreamland Stage
8,1:10 - 1:20,10,1:08 ดวงดาวและดวงจันทร์ / 1:12 ค่อยๆ ลอยลงมาหา / 1:16 เต้นรำช้าๆ,สายลมอ่อนๆ พัดผ่านปุยเมฆ ทำให้ปุยเมฆรอบๆ เคลื่อนไหวเป็นลอนคลื่นช้าๆ ละอองดาวปลิวไสวอย่างอ่อนโยน แม่หมีดึงผ้าห่มกระชับให้โฮมมี่อีกครั้งเพื่อความอบอุ่น,Medium Wide Shot,"Eye-level, slow tracking left","Cool blue and lavender moonlit night light, soft backlighting.","`Medium wide shot of Mom bear sitting on the cloud bed, gently tucking Homey in. Soft wind blowing, causing the pastel pink clouds and glowing star particles to drift across the frame. Disney Pixar 3D animation style, clay rendering, soft wind effects, cool blue and lavender moonlit lighting, 16:9 aspect ratio.`","`Slow-motion camera tracking left. Fluffy cloud waves roll slowly in the foreground and background. Pastel-colored stardust particles float gently across the screen, mimicking a soft breeze. Mom adjust the blanket. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Breeze-swept Sky
9,1:20 - 1:30,10,1:19 เป็นนิทานก่อนนอน / 1:22 สายลมพัดเย็นสบาย / 1:25 พัดพาความเหนื่อยล้า,แม่หมีเอื้อมมือไปจับมือเล็กๆ ของโฮมมี่ที่โผล่พ้นผ้าห่มออกมาอย่างทะนุถนอม สองแม่ลูกเชื่อมโยงกันด้วยความผูกพันอันแสนอบอุ่นในคืนอันแสนสุข,Close-up,"Low-angle looking at their hands, static","Warm gold key light on their hands, soft purple background.","`Close-up shot of Mom bear's large, warm brown furry hand gently holding Homey's tiny, soft monkey hand on top of the fluffy cloud blanket. The lighting is warm and glowing, symbolizing maternal love. Disney Pixar 3D animation style, clay textures, high detail, emotional and peaceful tone, 16:9 aspect ratio.`","`Slow-motion static close-up. Mom's hand gently squeezes Homey's hand, and Homey's little fingers twitch and squeeze back slightly in his sleep. Soft breathing motion of the blanket. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Cloud Cradle
10,1:30 - 1:40,10,1:28 หลับตาพักกายา / 1:32 พรุ่งนี้ค่อยตื่นมาเล่นกัน / [Transition to Loop],กล้องถอยห่างออกมาช้าๆ เผยภาพมุมกว้างของเตียงเมฆที่มีโฮมมี่นอนหลับฝันดีและแม่หมีเฝ้าอยู่ เคียงข้างด้วยดวงดาวที่กะพริบแสงช้าๆ และก้อนเมฆค่อยๆ ลอยกลับเข้าสู่ตำแหน่งเริ่มต้นเพื่อวนลูปอย่างแนบเนียน,Super Wide Shot,"Eye-level, slow dolly out","Dreamy sunset-twilight gradient (pink, gold, deep purple), glowing stars and moon.","`Super wide shot of Mom bear sitting beside the sleeping Homey in his cloud bed, floating in a vast, magical night sky filled with countless glowing stars and soft pink-lavender clouds. A huge friendly moon smiles from above. Disney Pixar 3D animation style, clay textures, soft dreamy volumetric glow, highly detailed, 16:9 aspect ratio.`","`Slow-motion camera dolly out. The scene slowly expands, showing the entire cloud bed floating peacefully. The clouds around them slowly drift back into the initial pattern of Scene 1, making a perfect seamless transition. Seamless loop, clean video, no text, no subtitles, no words.`","Homey, Mom",Pastel Dream Cloudland
