Scene No,Start Time,End Time,Duration (s),Audio Cue / Lyrics,Visual Action Description,Shot Type,Camera Angle,Lighting,Photo Prompt,Characters In Scene,Motion Prompt
1,0:00,0:06,6,(ดนตรี Intro เริ่มต้นสดใส),น้องโฮมมี่ (Homey) วิ่งเข้ามาจากด้านซ้ายของเฟรมด้วยความร่าเริง กระโดดโลดเต้นอย่างสนุกสนานอยู่กลางฉากสตูดิโอสีขาวล้วน,Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, a small, energetic monkey cub named Homey, with big round eyes, wearing a striped t-shirt and dark blue denim overalls, running in from the left side of the frame with a joyful expression, mid-jump, dancing playfully on a pure solid white studio floor. Clean solid white studio background, warm studio lighting casting soft shadows, smooth detailed textures, 16:9 aspect ratio.",น้องโฮมมี่ (Homey),"Static camera, wide shot. Homey, a small monkey cub in Disney Pixar 3D style, runs into the frame from the left, jumps joyfully, and dances playfully in the center of the solid white stage."
2,0:06,0:10,4,ต๊ะดะระรำ ต๊ะดะระรำ ต๊ะดะระรำ,น้องโฮมมี่ (Homey) เต้นอยู่กลางเฟรม พ่อยีราฟ (Dad) เดินเข้ามาจากด้านขวาของฉากสีขาวและเริ่มขยับเต้นเลียนแบบท่าทางของน้องโฮมมี่อย่างอารมณ์ดี,Medium Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, Homey the small monkey cub is dancing in the center, and a tall, friendly giraffe father named Dad wearing a green polo shirt and dark blue trousers is walking in from the right side of the frame, smiling and joining the dance on a pure white floor. Clean solid white background, warm studio lighting, highly detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad)","The camera slowly pans right. Dad the giraffe walks into the scene from the right and joins Homey the monkey, both dancing together on the white stage."
3,0:10,0:14,4,ป๊ะปะระรำ ป๊ะปะระรำ ป๊ะปะระรำ,น้องโฮมมี่ (Homey) และพ่อยีราฟ (Dad) เต้นคู่กัน แม่หมี (Mom) เดินเข้ามาจากส่วนลึกด้านหลังของเฟรม (background) เข้ามาร่วมเต้นแจมด้วยความอ่อนโยน,Medium Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, Homey the small monkey and Dad the giraffe father are dancing together, and a gentle brown bear mother named Mom wearing a white shirt and pink knit cardigan is walking forward from the background, smiling and joining them on the white floor. Clean solid white background, warm studio lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)","The camera slowly dollies back. Mom the brown bear walks in from the background, moving forward to join Homey and Dad in their dance."
4,0:14,0:18,4,ตื่นขึ้นมาในตอนเช้า...,"ตัวละครทั้งสาม (โฮมมี่, พ่อยีราฟ, แม่หมี) หยุดเต้น หันมองมายังหน้าจอร่วมกัน ค่อยๆ บิดแขนยืดตัวอย่างอบอุ่นเหมือนตื่นนอนตอนเช้าอย่างมีความสุข",Medium Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, Homey the monkey, Dad the giraffe, and Mom the bear standing side-by-side, stretching their arms gently and smiling as if waking up, standing on a pure solid white studio floor. Clean solid white background, soft studio lighting casting warm glow, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)","Static camera. The three characters transition from dancing to a synchronous gentle stretching motion, looking forward with cheerful and fresh faces."
5,0:18,0:24,6,...ยิ้มรับวันใหม่,ตัวละครทั้งสามส่งยิ้มหวานให้กันและหัวเราะอย่างร่าเริง แสดงความรักและพร้อมต้อนรับเช้าวันใหม่บนพื้นสตูดิโอขาวสะอาด,Medium Close-up,Eye-level,Bright studio light,"Disney Pixar 3D animation style, close-up of Homey the monkey, Dad the giraffe, and Mom the bear laughing together and smiling warmly at each other, standing close on a pure white floor. Clean solid white studio background, bright studio lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)","The camera slowly zooms in slightly on their faces. The characters turn their heads towards each other, sharing laughter and happy smiles."
6,0:24,0:28,4,มีความสุขอยู่รอบกาย...,คุณยายเต่า (Granny) ยืนส่งยิ้มใจดีอยู่ทางด้านซ้ายของเฟรม น้องโฮมมี่วิ่งร่าเริงเข้ามาจากซ้ายแล้วเข้าไปกอดเอวคุณยายเต่าอย่างมีความสุข พ่อยีราฟและแม่หมีเฝ้ามองยิ้มๆ จากด้านหลัง,Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, Granny the kind turtle in a cream cardigan and round glasses stands and smiles kindly on the left. Homey the monkey cub runs in from the left and hugs her waist on a pure white floor. Dad the giraffe and Mom the bear stand in the background, smiling. Clean solid white background, soft shadows, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), คุณยายเต่า (Granny), พ่อยีราฟ (Dad), แม่หมี (Mom)","Static camera, wide shot. Granny stands on the left. Homey enters running from the left and hugs Granny's waist. Dad and Mom watch and smile from the background."
7,0:28,0:34,6,...ในบ้านของเรา,"ทุกคน (โฮมมี่, พ่อยีราฟ, แม่หมี, คุณยายเต่า) มารวมกลุ่มกันกลางเฟรม กอดกันเป็นวงกลมอย่างอบอุ่นและสบายใจ มีพร็อบเก้าอี้ 3D จิ๋วสไตล์พาสเทลประดับไว้ด้านข้าง",Medium Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, the family of Homey the monkey, Dad the giraffe, Mom the bear, and Granny the turtle hugging in a tight cozy circle on a pure white floor. A minimal pastel 3D stylized miniature chair prop is placed nearby on the white surface. Clean solid white studio background, warm lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)","Static camera. The characters gently sway side-to-side in a group hug, showing affection and comfort on the white stage."
8,0:34,0:38,4,เรื่องสนุกมีมากมาย...,น้องโฮมมี่ผละออกจากวงกอด วิ่งอย่างตื่นเต้นไปทางขวาของเฟรม นั่งลงข้างกล่องของเล่น 3D สไตล์น่ารักและเริ่มแกะฝาเปิดกล่องอย่างรวดเร็ว พ่อยีราฟและแม่หมีก้าวตามมามองดูด้วยความสนใจ,Medium Wide Shot,Eye-level,Bright studio light,"Disney Pixar 3D animation style, Homey the monkey cub running towards the right side of the frame and kneeling down to open a colorful stylized 3D toy box on the white floor. Dad the giraffe and Mom the bear walk towards him. Pure white floor, clean solid white background, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)",The camera tracks right. Homey runs to the right and opens the box quickly. Dad and Mom walk towards him to look inside.
9,0:38,0:42,4,...รอให้เราไปเรียนรู้ มาสิมา มาดู ไปด้วยกัน,น้องโฮมมี่ชูของเล่น 3D ทรงกลมและสี่เหลี่ยมขึ้นมาดูอย่างสงสัย ใคร่รู้ พ่อยีราฟและคุณยายเต่าชี้แนะอธิบายด้วยรอยยิ้ม,Medium Close-up,Eye-level,Bright studio light,"Disney Pixar 3D animation style, close-up of Homey the monkey holding up colorful stylized 3D geometric shapes, looking at them with curiosity. Dad the giraffe and Granny the turtle lean in to point and explain to him on a white floor. Clean solid white background, studio lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), คุณยายเต่า (Granny)","The camera slowly zooms in on the 3D shapes in Homey's hand. Dad and Granny nod and point to the toy, making speaking gestures."
10,0:42,0:46,4,จับมือไว้แล้วก้าวไป...,น้องโฮมมี่ พ่อยีราฟ และแม่หมี จับมือเรียงกันเป็นหน้ากระดาน เตรียมตัวเดินก้าวไปข้างหน้าด้วยกันบนฉากขาว,Medium Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, Homey the monkey, Dad the giraffe, and Mom the bear holding hands side-by-side, looking forward, standing on a clean pure white floor. Clean solid white studio background, warm lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)","Static camera. The characters hold hands, look straight ahead, and stand in a neat line, ready to walk forward."
