ซีนที่ (Scene No),ช่วงเวลา (Time),คิวเสียง (Lyric Cue),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location),ภาพเหตุการณ์ (Description),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ)
1,0:00 - 0:04,(ดนตรีอินโทรเริ่มต้น),Homey,Playground,เปิดฉากด้วยภาพกว้างของสนามเด็กเล่นที่สดใส แสงแดดส่องถึง ตัวละครหลัก น้องโฮมมี่ กำลังวิ่งเล่นอย่างร่าเริง,"Disney Pixar 3D Animation style, virtual environment of a sunny suburban playground with colorful slides and green trees. A small, energetic monkey cub named น้องโฮมมี่ (Homey), with big round eyes, wearing a striped t-shirt and dark blue denim overalls, is happily playing. Wide shot, eye-level camera angle, bright sunny day lighting.","Slow camera pan across the playground, following น้องโฮมมี่ (Homey) as he runs and jumps with joy. Bright sunny day lighting."
2,0:04 - 0:08,(ดนตรีอินโทรดึงจังหวะร่าเริง),"Homey, Dad, Mom",Playground,ภาพตัดมาที่น้องโฮมมี่กำลังเล่นอยู่กับ พ่อยีราฟ และ แม่หมี บนสนามเด็กเล่น บรรยากาศอบอุ่นและสนุกสนาน,"Disney Pixar 3D Animation style, virtual environment of a sunny suburban playground. น้องโฮมมี่ (Homey) is playing with พ่อยีราฟ (Dad), a tall, warm-hearted giraffe father wearing a green polo shirt, and แม่หมี (Mom), a gentle brown bear mother wearing a pink cardigan. Medium shot, eye-level camera angle, warm, cheerful daylight.","Camera gently tracks alongside น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), and แม่หมี (Mom) as they interact playfully on the playground. Warm, cheerful daylight."
3,0:08 - 0:12,ไม่ ไม่ ไม่ ขอบคุณครับ,"Homey, Stranger",Suburban Sidewalk,คนแปลกหน้า (สุนัขจิ้งจอก) เดินเข้ามาหาน้องโฮมมี่ที่กำลังถือของเล่นอยู่ ยื่นของเล่นให้ น้องโฮมมี่ ปฏิเสธอย่างสุภาพ,"Disney Pixar 3D Animation style, virtual environment of a suburban sidewalk. น้องโฮมมี่ (Homey) is holding a toy. A cartoonish sly fox stranger, คนแปลกหน้า (Stranger), wearing a dark purple hoodie and sunglasses, approaches น้องโฮมมี่ and offers a colorful toy. Medium close-up shot, eye-level camera angle, bright, natural light.","Camera focuses on น้องโฮมมี่ (Homey) and คนแปลกหน้า (Stranger). คนแปลกหน้า (Stranger) extends a colorful toy towards น้องโฮมมี่, who politely shakes his head. Bright, natural light."
4,0:12 - 0:16,ไม่รับของจากคนแปลกหน้า,"Homey, Dad, Mom",Suburban Sidewalk,น้องโฮมมี่ ย้ำคำปฏิเสธอย่างชัดเจน โดยมี พ่อยีราฟ และ แม่หมี ยืนอยู่ใกล้ๆ,"Disney Pixar 3D Animation style, virtual environment of a suburban sidewalk. น้องโฮมมี่ (Homey) firmly states 'I don't take things from strangers'. พ่อยีราฟ (Dad) and แม่หมี (Mom) stand protectively nearby. Medium shot, eye-level camera angle, bright, natural light.","Camera frames น้องโฮมมี่ (Homey) as he speaks, with พ่อยีราฟ (Dad) and แม่หมี (Mom) in the background, looking attentive. Bright, natural light."
5,0:16 - 0:20,หันไปถามคุณพ่อคุณแม่,"Homey, Dad, Mom",Suburban Sidewalk,น้องโฮมมี่ หันไปมอง พ่อยีราฟ และ แม่หมี เพื่อขอคำแนะนำ สีหน้าดูสงสัยเล็กน้อย,"Disney Pixar 3D Animation style, virtual environment of a suburban sidewalk. น้องโฮมมี่ (Homey) turns his head to look up at พ่อยีราฟ (Dad) and แม่หมี (Mom) with a slightly questioning expression. Medium close-up shot, slightly high-angle camera, soft natural light.",Camera focuses on น้องโฮมมี่'s face as he turns to look up at his parents. His expression is one of seeking guidance. Soft natural light.
6,0:20 - 0:24,ปลอดภัยแน่ๆ สบายใจจัง,Homey,Playground,น้องโฮมมี่กำลังเล่นอย่างสนุกสนานที่สนามเด็กเล่น รู้สึกปลอดภัยและมีความสุข,"Disney Pixar 3D Animation style, virtual environment of a sunny suburban playground with a colorful slide and green trees. น้องโฮมมี่ (Homey), a small, energetic monkey cub with big round eyes, wearing a striped t-shirt and dark blue denim overalls, is happily playing on the swings. The scene is bright and cheerful. Wide shot, eye-level angle, bright sunny day lighting.","Slow camera pan right, following น้องโฮมมี่ (Homey) as he swings joyfully on the playground. The environment is a vibrant, sunny suburban playground. Disney Pixar 3D Animation style."
7,0:24 - 0:28,มีคนแปลกหน้า เดินเข้ามาใกล้,"Homey, Stranger",Playground,ขณะที่น้องโฮมมี่กำลังเล่น มีคนแปลกหน้า (สุนัขจิ้งจอก) เดินเข้ามาใกล้จากด้านข้าง,"Disney Pixar 3D Animation style, virtual environment of a sunny suburban playground. น้องโฮมมี่ (Homey) is on the swings. A cartoonish sly fox stranger (คนแปลกหน้า - Stranger), wearing a dark purple hoodie and sunglasses, is walking towards น้องโฮมมี่ (Homey) from the side. Medium shot, eye-level angle, bright sunny day lighting.","Camera slowly tracks left, focusing on น้องโฮมมี่ (Homey) on the swings, as คนแปลกหน้า (Stranger), the sly fox, cautiously approaches from the edge of the frame. The setting is a bright, sunny suburban playground. Disney Pixar 3D Animation style."
8,0:28 - 0:32,ในมือมีของเล่น สีสันสดใส,Stranger,Playground,คนแปลกหน้ายื่นของเล่นสีสันสดใสออกมาให้น้องโฮมมี่,"Disney Pixar 3D Animation style, virtual environment of a suburban playground. Close-up on the hands of คนแปลกหน้า (Stranger), a cartoonish sly fox, wearing a dark purple hoodie. He is holding out a colorful, vibrant toy towards the viewer. The background is slightly blurred playground. Close-up shot, slightly low-angle, warm natural light.",Camera slowly zooms in on the hand of คนแปลกหน้า (Stranger) offering a brightly colored toy. The focus is on the toy and the hand. The background is a soft-focus suburban playground. Disney Pixar 3D Animation style.
9,0:32 - 0:36,ยื่นมาตรงหน้า เอ๊ะ น่าสนุกจัง แต่เดี๋ยวก่อนนะ โฮมมี่ขอหยุดฟัง,"Homey, Stranger",Playground,น้องโฮมมี่มองของเล่นด้วยความสนใจ แต่ก็หยุดคิดและหันไปฟังเสียงเตือน,"Disney Pixar 3D Animation style, virtual environment of a suburban playground. Medium close-up on น้องโฮมมี่ (Homey), the monkey cub, looking at the colorful toy offered by คนแปลกหน้า (Stranger) with curiosity. น้องโฮมมี่ (Homey) has a thoughtful expression, pausing before reaching out. Medium close-up shot, eye-level angle, bright sunny day lighting.","Camera focuses on น้องโฮมมี่ (Homey)'s face as he looks at the toy with interest, then his expression shifts to thoughtful. He pauses, looking slightly away from คนแปลกหน้า (Stranger). The setting is a bright, sunny suburban playground. Disney Pixar 3D Animation style."
10,0:36 - 0:41,นึกถึงคำสอน ของคุณพ่อคุณแม่,"Homey, Dad, Mom",Homey's Front Yard,ภาพตัดไปที่น้องโฮมมี่กำลังนึกถึงคำสอนของพ่อแม่ (พ่อยีราฟและแม่หมี) ที่บ้าน,"Disney Pixar 3D Animation style, virtual environment of Homey's Front Yard. น้องโฮมมี่ (Homey) is sitting on the grass, looking thoughtful. In a thought bubble or flashback, พ่อยีราฟ (Dad), a tall giraffe in a green polo shirt, and แม่หมี (Mom), a kind brown bear in a pink cardigan, are gently looking at him, as if giving advice. Soft natural light. Medium shot, eye-level angle.","Camera slowly zooms out from น้องโฮมมี่ (Homey) sitting on the grass in his front yard, looking contemplative. A subtle visual effect indicates a flashback or thought bubble showing พ่อยีราฟ (Dad) and แม่หมี (Mom) giving him advice. The lighting is soft and warm. Disney Pixar 3D Animation style."
